GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|411116154|ref|NZ_JH556657.1|:196093-197025|35830|g__Acetivibrio.s__Acetivibrio_cellulolyticus|UniRef90_K4L592|UniRef50_H6LFX7,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,933,1,0.0.0.0,1.0718113612004287
gi|379009891|ref|NC_016894.1|:c2092549-2090987|33952|g__Acetobacterium.s__Acetobacterium_woodii|UniRef90_H6LIH5|UniRef50_R5K0X9,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,1563,1,1.7.99.1,0.6397952655150352
gi|306477407|ref|NZ_GG770409.1|:c1854683-1852524|72556|g__Achromobacter.s__Achromobacter_piechaudii|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Oxalobacteraceae;g_Herbaspirillum;s_Herbaspirillum seropedicae,2160,4,3.6.3.12,1.8518518518518516
gi|423012810|ref|NZ_GL982453.1|:c3557706-3555484|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,2223,1,0.0.0.0,0.449842555105713
gi|423012810|ref|NZ_GL982453.1|:c3557706-3555484|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter,2223,1,0.0.0.0,0.449842555105713
gi|422322098|ref|NZ_GL636058.1|:20326-22053|85698|g__Achromobacter.s__Achromobacter_xylosoxidans|UniRef90_J7QDC6|UniRef50_Q9JZ44,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Alcaligenaceae;g_Achromobacter;s_Achromobacter xylosoxidans,1728,1,0.0.0.0,0.5787037037037037
gi|222109225|ref|NC_011992.1|:634191-635621|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_B9MD63|UniRef50_A3MND6,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales,1431,6,2.3.1.157,4.1928721174004195
gi|222109225|ref|NC_011992.1|:909527-911020|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_A1TLM9|UniRef50_A1VM73,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax ebreus,1494,1,1.6.5.11,0.6693440428380187
gi|222109225|ref|NC_011992.1|:1771458-1773680|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_B9MIW4|UniRef50_Q7NR81,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax,2223,1,6.5.1.2,0.449842555105713
gi|222109225|ref|NC_011992.1|:c816521-813999|721785|g__Acidovorax.s__Acidovorax_ebreus|UniRef90_unknown|UniRef50_F0QCJ2,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Acidovorax;s_Acidovorax sp. JS42,2523,2,0.0.0.0,0.7927070947284978
gi|351000276|ref|NZ_AFBG01000005.1|:31588-31998|758826|g__Acidovorax.s__Acidovorax_radicis|UniRef90_K0I5S5|UniRef50_A9AG35,root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Burkholderiales;f_Comamonadaceae;g_Delftia;s_Delftia acidovorans,411,1,0.0.0.0,2.4330900243309004
