UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_N1ZB99,ec:2.8.3.8
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_P03911,ec:1.6.5.3
UniRef90_P03921,ec:1.6.5.3
UniRef90_K5ZL03,ec:1.15.1.1
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_R7JA67,ec:2.3.1.179
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_P03888,ec:1.6.5.3
UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_N1ZTH6,ec:1.97.1.4
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_A6LA39,ec:5.3.1.5
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_P03925,ec:1.6.5.3
UniRef90_K5Y257,ec:1.1.1.262
UniRef90_K5ZHQ6,ec:1.6.5.8
UniRef90_A6LEL6,ec:2.4.99.17
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_Q3UVI0,ec:1.6.5.3
UniRef90_N1ZQH2,ec:3.4.11.18
UniRef90_R6WKC0,ec:1.3.1.9
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_P17844,ec:3.6.4.13
UniRef90_K5XZW3,ec:1.16.3.1
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_P09528,ec:1.16.3.1
UniRef90_K5ZG42,ec:1.8.1.4
UniRef90_K5ZL69,ec:1.1.1.169
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K6A434,ec:1.8.1.4
UniRef90_K6APX5,ec:1.17.1.8
UniRef90_Q6TM15,ec:1.6.5.3
UniRef90_Q95MP7,ec:1.16.3.1
UniRef90_K5Z0T9,ec:5.4.99.25
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_P19132,ec:1.16.3.1
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_K5YUE3,ec:5.3.1.28
UniRef90_R5DNU5,ec:2.1.1.198
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_P03926,ec:1.6.5.3
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_A6LAP3,ec:6.1.1.15
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_K5ZYU3,ec:2.7.1.35
UniRef90_K6A705,ec:2.7.7.2
UniRef90_R6WRB5,ec:2.1.1.33
UniRef90_R7J9W2,ec:1.4.3.16
UniRef90_C0PBK8,ec:1.16.3.1
UniRef90_G5D066,ec:1.6.5.3
UniRef90_A6LFT6,ec:6.1.1.16
UniRef90_K5YLU6,ec:1.17.1.2
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K6A687,ec:6.3.2.10
UniRef90_R6WPT3,ec:6.2.1.30
UniRef90_R6X635,ec:1.6.5.8
UniRef90_V2Q928,ec:6.1.1.3
UniRef90_A6LC32,ec:2.3.1.46
UniRef90_K5YTK3,ec:5.2.1.8
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_K5ZBG1,ec:4.2.1.1
UniRef90_K5ZE89,ec:1.3.99.22
UniRef90_K5ZI77,ec:4.2.1.126
UniRef90_K5ZLK7,ec:6.3.4.19
UniRef90_K5ZTW4,ec:3.6.4.12
UniRef90_K5ZTX4,ec:2.1.1.182
UniRef90_K6A3Z7,ec:3.1.1.96
UniRef90_K6A4N7,ec:3.5.1.88
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K6AH91,ec:4.2.3.3
UniRef90_K6ALW4,ec:3.5.4.31
UniRef90_O77633,ec:3.4.24.81
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_R6X1Y5,ec:4.2.99.18
UniRef90_R7JIK5,ec:6.1.1.2
UniRef90_V2PZA4,ec:6.1.1.14
UniRef90_V2Q963,ec:2.1.1.228
UniRef90_V2QF56,ec:4.3.1.1
UniRef90_V2RRF9,ec:6.1.1.7
UniRef90_A9UIZ8,ec:1.6.5.3
UniRef90_E7C9K9,ec:1.6.5.3
UniRef90_A6LFF6,ec:3.1.11.6
UniRef90_A6LG11,ec:3.6.4.12
UniRef90_A6LHY5,ec:6.1.1.19
UniRef90_K5Y229,ec:3.5.1.25
UniRef90_K5Y5U3,ec:5.2.1.8
UniRef90_K5YK37,ec:3.1.26.4
UniRef90_K5YVN3,ec:3.1.26.5
UniRef90_K5ZA43,ec:3.1.11.6
UniRef90_K5ZGI0,ec:1.8.4.12
UniRef90_K5ZPX5,ec:3.1.26.3
UniRef90_K5ZTJ0,ec:2.1.1.297
UniRef90_K5ZTR1,ec:3.4.21.89
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_K6A7D9,ec:3.6.4.12
UniRef90_K6AP66,ec:5.2.1.8
UniRef90_K6AUM0,ec:3.1.26.11
UniRef90_K6AWG0,ec:3.4.21.89
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_R6IFD4,ec:3.5.1.25
UniRef90_R6X666,ec:6.2.1.30
UniRef90_R6Y439,ec:2.3.1.234
UniRef90_V2PYV1,ec:6.1.1.16
UniRef90_V2Q0N5,ec:3.6.4.12
UniRef90_V2Q202,ec:2.3.1.179
UniRef90_V2Q919,ec:3.4.11.18
UniRef90_V2Q9L5,ec:2.1.1.193
UniRef90_V2QAG2,ec:3.1.13.1
UniRef90_V2QBY1,ec:3.6.5.n1
UniRef90_V2QC92,ec:5.99.1.3
UniRef90_V2QDU7,ec:6.1.1.14
UniRef90_V2QED2,ec:6.1.1.11
UniRef90_V2QF45,ec:6.3.4.21
UniRef90_V2QI70,ec:6.1.1.19
UniRef90_V2RK92,ec:1.21.98.1
UniRef90_V2RKV1,ec:3.1.1.61
UniRef90_V2RL74,ec:2.1.1.72
UniRef90_V2RP76,ec:2.7.13.3
UniRef90_Q35733,ec:1.6.5.3
