Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,2,14.28571429,both
"Alanine, aspartate and glutamate metabolism",50,2,4,humann2
"Alanine, aspartate and glutamate metabolism",50,5,10,mpro
"Alanine, aspartate and glutamate metabolism",50,11,22,both
Amino sugar and nucleotide sugar metabolism,119,1,0.840336134,humann2
Amino sugar and nucleotide sugar metabolism,119,9,7.56302521,both
Amino sugar and nucleotide sugar metabolism,119,13,10.92436975,mpro
Aminoacyl-tRNA biosynthesis,31,9,29.03225806,mpro
Aminoacyl-tRNA biosynthesis,31,14,45.16129032,both
Aminobenzoate degradation,51,1,1.960784314,humann2
Arginine and proline metabolism,86,1,1.162790698,humann2
Arginine and proline metabolism,86,3,3.488372093,both
Arginine and proline metabolism,86,3,3.488372093,mpro
Arginine biosynthesis,28,7,25,mpro
Arginine biosynthesis,28,3,10.71428571,both
Arginine biosynthesis,28,1,3.571428571,humann2
Ascorbate and aldarate metabolism,46,3,6.52173913,mpro
Atrazine degradation,10,1,10,mpro
Benzoate degradation,69,2,2.898550725,mpro
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,56,11.29032258,both
Biosynthesis of antibiotics,496,42,8.467741935,mpro
Biosynthesis of antibiotics,496,5,1.008064516,humann2
Biosynthesis of secondary metabolites,778,8,1.028277635,humann2
Biosynthesis of secondary metabolites,778,58,7.455012853,mpro
Biosynthesis of secondary metabolites,778,73,9.383033419,both
Biosynthesis of unsaturated fatty acids,16,1,6.25,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,both
Biotin metabolism,20,3,15,mpro
Biotin metabolism,20,1,5,humann2
Biotin metabolism,20,2,10,both
Butanoate metabolism,55,3,5.454545455,both
Butanoate metabolism,55,4,7.272727273,mpro
Butanoate metabolism,55,1,1.818181818,humann2
C5-Branched dibasic acid metabolism,22,3,13.63636364,both
C5-Branched dibasic acid metabolism,22,4,18.18181818,mpro
Carbapenem biosynthesis,5,2,40,both
Carbon fixation in photosynthetic organisms,25,8,32,both
Carbon fixation in photosynthetic organisms,25,4,16,mpro
Carbon fixation pathways in prokaryotes,50,7,14,both
Carbon fixation pathways in prokaryotes,50,8,16,mpro
Chloroalkane and chloroalkene degradation,17,2,11.76470588,mpro
Chlorocyclohexane and chlorobenzene degradation,21,1,4.761904762,mpro
Citrate cycle (TCA cycle),26,1,3.846153846,humann2
Citrate cycle (TCA cycle),26,6,23.07692308,both
Citrate cycle (TCA cycle),26,4,15.38461538,mpro
Cyanoamino acid metabolism,30,2,6.666666667,mpro
Cyanoamino acid metabolism,30,2,6.666666667,both
Cysteine and methionine metabolism,76,7,9.210526316,mpro
Cysteine and methionine metabolism,76,2,2.631578947,humann2
Cysteine and methionine metabolism,76,7,9.210526316,both
D-Alanine metabolism,6,1,16.66666667,mpro
D-Alanine metabolism,6,1,16.66666667,both
D-Glutamine and D-glutamate metabolism,12,1,8.333333333,mpro
D-Glutamine and D-glutamate metabolism,12,3,25,both
Drug metabolism - cytochrome P450,8,1,12.5,mpro
Drug metabolism - other enzymes,25,4,16,both
Drug metabolism - other enzymes,25,3,12,mpro
Fatty acid biosynthesis,17,3,17.64705882,both
Fatty acid biosynthesis,17,1,5.882352941,mpro
Fatty acid biosynthesis,17,2,11.76470588,humann2
Fatty acid degradation,29,3,10.34482759,mpro
Fluorobenzoate degradation,14,1,7.142857143,mpro
Folate biosynthesis,51,9,17.64705882,mpro
Folate biosynthesis,51,1,1.960784314,both
Fructose and mannose metabolism,75,7,9.333333333,both
Fructose and mannose metabolism,75,7,9.333333333,mpro
Galactose metabolism,48,1,2.083333333,both
Galactose metabolism,48,1,2.083333333,humann2
Galactose metabolism,48,10,20.83333333,mpro
Glucosinolate biosynthesis,15,1,6.666666667,mpro
Glutathione metabolism,39,3,7.692307692,both
Glutathione metabolism,39,3,7.692307692,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerolipid metabolism,40,1,2.5,mpro
Glycerophospholipid metabolism,61,2,3.278688525,mpro
Glycerophospholipid metabolism,61,2,3.278688525,both
"Glycine, serine and threonine metabolism",68,9,13.23529412,mpro
"Glycine, serine and threonine metabolism",68,1,1.470588235,humann2
"Glycine, serine and threonine metabolism",68,8,11.76470588,both
Glycolysis / Gluconeogenesis,48,9,18.75,mpro
Glycolysis / Gluconeogenesis,48,1,2.083333333,humann2
Glycolysis / Gluconeogenesis,48,11,22.91666667,both
Glycosaminoglycan degradation,15,2,13.33333333,mpro
Glycosphingolipid biosynthesis - ganglio series,8,2,25,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,3,23.07692308,mpro
Glyoxylate and dicarboxylate metabolism,73,3,4.109589041,both
Glyoxylate and dicarboxylate metabolism,73,7,9.589041096,mpro
Histidine metabolism,38,5,13.15789474,mpro
Histidine metabolism,38,6,15.78947368,both
Human cytomegalovirus infection,2,1,50,mpro
Human papillomavirus infection,2,1,50,mpro
Inositol phosphate metabolism,48,5,10.41666667,mpro
Inositol phosphate metabolism,48,1,2.083333333,both
Isoquinoline alkaloid biosynthesis,57,1,1.754385965,mpro
Lipoic acid metabolism,3,2,66.66666667,both
Lipopolysaccharide biosynthesis,27,4,14.81481481,both
Lipopolysaccharide biosynthesis,27,3,11.11111111,mpro
Lipopolysaccharide biosynthesis,27,1,3.703703704,humann2
Lysine biosynthesis,28,4,14.28571429,mpro
Lysine biosynthesis,28,4,14.28571429,both
Lysine biosynthesis,28,3,10.71428571,humann2
Lysine degradation,53,3,5.660377358,mpro
