Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,2,14.28571429,both
Aflatoxin biosynthesis,13,1,7.692307692,both
"Alanine, aspartate and glutamate metabolism",50,3,6,humann2
"Alanine, aspartate and glutamate metabolism",50,6,12,mpro
"Alanine, aspartate and glutamate metabolism",50,14,28,both
Amino sugar and nucleotide sugar metabolism,119,14,11.76470588,mpro
Amino sugar and nucleotide sugar metabolism,119,18,15.12605042,both
Aminoacyl-tRNA biosynthesis,31,22,70.96774194,both
Aminoacyl-tRNA biosynthesis,31,2,6.451612903,mpro
Aminobenzoate degradation,51,1,1.960784314,both
Aminobenzoate degradation,51,3,5.882352941,mpro
Aminobenzoate degradation,51,1,1.960784314,humann2
Arginine and proline metabolism,86,9,10.46511628,both
Arginine and proline metabolism,86,10,11.62790698,mpro
Arginine and proline metabolism,86,3,3.488372093,humann2
Arginine biosynthesis,28,9,32.14285714,both
Arginine biosynthesis,28,5,17.85714286,mpro
Arginine biosynthesis,28,2,7.142857143,humann2
Ascorbate and aldarate metabolism,46,4,8.695652174,mpro
Ascorbate and aldarate metabolism,46,1,2.173913043,humann2
Ascorbate and aldarate metabolism,46,3,6.52173913,both
Atrazine degradation,10,1,10,both
Benzoate degradation,69,5,7.246376812,mpro
Benzoate degradation,69,2,2.898550725,both
Biosynthesis of ansamycins,4,1,25,both
Biosynthesis of antibiotics,496,41,8.266129032,mpro
Biosynthesis of antibiotics,496,94,18.9516129,both
Biosynthesis of antibiotics,496,11,2.217741935,humann2
Biosynthesis of secondary metabolites,778,136,17.48071979,both
Biosynthesis of secondary metabolites,778,61,7.840616967,mpro
Biosynthesis of secondary metabolites,778,16,2.05655527,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,mpro
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,both
Biosynthesis of unsaturated fatty acids,16,3,18.75,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,both
Biotin metabolism,20,7,35,both
Biotin metabolism,20,3,15,mpro
Biotin metabolism,20,1,5,humann2
Butanoate metabolism,55,3,5.454545455,humann2
Butanoate metabolism,55,6,10.90909091,mpro
Butanoate metabolism,55,6,10.90909091,both
C5-Branched dibasic acid metabolism,22,3,13.63636364,both
C5-Branched dibasic acid metabolism,22,4,18.18181818,mpro
Caprolactam degradation,21,2,9.523809524,mpro
Carbapenem biosynthesis,5,2,40,both
Carbon fixation in photosynthetic organisms,25,10,40,both
Carbon fixation in photosynthetic organisms,25,6,24,mpro
Carbon fixation pathways in prokaryotes,50,9,18,both
Carbon fixation pathways in prokaryotes,50,16,32,mpro
Chloroalkane and chloroalkene degradation,17,1,5.882352941,mpro
Chloroalkane and chloroalkene degradation,17,1,5.882352941,both
Citrate cycle (TCA cycle),26,8,30.76923077,mpro
Citrate cycle (TCA cycle),26,1,3.846153846,humann2
Citrate cycle (TCA cycle),26,7,26.92307692,both
Cyanoamino acid metabolism,30,2,6.666666667,mpro
Cyanoamino acid metabolism,30,3,10,both
Cysteine and methionine metabolism,76,6,7.894736842,mpro
Cysteine and methionine metabolism,76,20,26.31578947,both
Cysteine and methionine metabolism,76,2,2.631578947,humann2
D-Alanine metabolism,6,2,33.33333333,both
D-Glutamine and D-glutamate metabolism,12,4,33.33333333,both
Dioxin degradation,13,2,15.38461538,both
Drug metabolism - cytochrome P450,8,2,25,both
Drug metabolism - other enzymes,25,2,8,mpro
Drug metabolism - other enzymes,25,10,40,both
Ethylbenzene degradation,6,1,16.66666667,mpro
Fatty acid biosynthesis,17,7,41.17647059,both
Fatty acid biosynthesis,17,1,5.882352941,humann2
Fatty acid biosynthesis,17,1,5.882352941,mpro
Fatty acid degradation,29,7,24.13793103,mpro
Fatty acid degradation,29,2,6.896551724,both
Fatty acid elongation,13,3,23.07692308,mpro
Folate biosynthesis,51,8,15.68627451,both
Folate biosynthesis,51,8,15.68627451,mpro
Fructose and mannose metabolism,75,9,12,mpro
Fructose and mannose metabolism,75,15,20,both
Galactose metabolism,48,12,25,both
Galactose metabolism,48,1,2.083333333,humann2
Galactose metabolism,48,6,12.5,mpro
Geraniol degradation,10,3,30,mpro
Glucosinolate biosynthesis,15,1,6.666666667,both
Glutathione metabolism,39,7,17.94871795,mpro
Glutathione metabolism,39,7,17.94871795,both
Glycerolipid metabolism,40,5,12.5,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerolipid metabolism,40,2,5,humann2
Glycerophospholipid metabolism,61,7,11.47540984,both
Glycerophospholipid metabolism,61,4,6.557377049,mpro
Glycerophospholipid metabolism,61,1,1.639344262,humann2
"Glycine, serine and threonine metabolism",68,7,10.29411765,mpro
"Glycine, serine and threonine metabolism",68,17,25,both
"Glycine, serine and threonine metabolism",68,4,5.882352941,humann2
Glycolysis / Gluconeogenesis,48,20,41.66666667,both
Glycolysis / Gluconeogenesis,48,5,10.41666667,mpro
Glycolysis / Gluconeogenesis,48,1,2.083333333,humann2
Glycosaminoglycan degradation,15,2,13.33333333,both
Glycosphingolipid biosynthesis - ganglio series,8,2,25,both
Glycosphingolipid biosynthesis - globo and isoglobo series,13,2,15.38461538,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,1,7.692307692,both
Glyoxylate and dicarboxylate metabolism,73,9,12.32876712,mpro
Glyoxylate and dicarboxylate metabolism,73,3,4.109589041,humann2
Glyoxylate and dicarboxylate metabolism,73,9,12.32876712,both
Histidine metabolism,38,9,23.68421053,both
Histidine metabolism,38,4,10.52631579,mpro
Human cytomegalovirus infection,2,1,50,both
Human papillomavirus infection,2,1,50,both
Inositol phosphate metabolism,48,1,2.083333333,humann2
Inositol phosphate metabolism,48,5,10.41666667,mpro
Inositol phosphate metabolism,48,2,4.166666667,both
Insect hormone biosynthesis,9,1,11.11111111,mpro
Isoquinoline alkaloid biosynthesis,57,2,3.50877193,mpro
Limonene and pinene degradation,16,2,12.5,mpro
Lipoic acid metabolism,3,2,66.66666667,both
Lipopolysaccharide biosynthesis,27,1,3.703703704,humann2
Lipopolysaccharide biosynthesis,27,5,18.51851852,mpro
Lipopolysaccharide biosynthesis,27,10,37.03703704,both
Lysine biosynthesis,28,11,39.28571429,both
Lysine biosynthesis,28,2,7.142857143,mpro
Lysine biosynthesis,28,2,7.142857143,humann2
Lysine degradation,53,8,15.09433962,mpro
Metabolic pathways,1650,31,1.878787879,humann2
Metabolic pathways,1650,163,9.878787879,mpro
Metabolic pathways,1650,303,18.36363636,both
Metabolism of xenobiotics by cytochrome P450,10,2,20,both
Methane metabolism,87,6,6.896551724,mpro
Methane metabolism,87,1,1.149425287,humann2
Methane metabolism,87,11,12.64367816,both
Microbial metabolism in diverse environments,668,90,13.47305389,both
Microbial metabolism in diverse environments,668,51,7.634730539,mpro
Microbial metabolism in diverse environments,668,10,1.497005988,humann2
Monobactam biosynthesis,10,3,30,both
Monobactam biosynthesis,10,2,20,humann2
Naphthalene degradation,9,1,11.11111111,both
"Neomycin, kanamycin and gentamicin biosynthesis",28,1,3.571428571,both
Nicotinate and nicotinamide metabolism,59,8,13.55932203,both
Nicotinate and nicotinamide metabolism,59,2,3.389830508,humann2
Nicotinate and nicotinamide metabolism,59,5,8.474576271,mpro
Nitrogen metabolism,37,5,13.51351351,both
Nitrogen metabolism,37,4,10.81081081,mpro
Nitrotoluene degradation,7,1,14.28571429,both
Novobiocin biosynthesis,16,1,6.25,both
Novobiocin biosynthesis,16,1,6.25,mpro
One carbon pool by folate,24,5,20.83333333,mpro
One carbon pool by folate,24,10,41.66666667,both
Other glycan degradation,9,2,22.22222222,both
Other glycan degradation,9,1,11.11111111,mpro
Oxidative phosphorylation,11,4,36.36363636,both
Oxidative phosphorylation,11,3,27.27272727,mpro
PI3K-Akt signaling pathway,2,1,50,both
Pantothenate and CoA biosynthesis,31,2,6.451612903,mpro
Pantothenate and CoA biosynthesis,31,12,38.70967742,both
Penicillin and cephalosporin biosynthesis,14,1,7.142857143,both
Pentose and glucuronate interconversions,67,4,5.970149254,mpro
Pentose and glucuronate interconversions,67,3,4.47761194,humann2
Pentose and glucuronate interconversions,67,11,16.41791045,both
Pentose phosphate pathway,55,1,1.818181818,humann2
Pentose phosphate pathway,55,17,30.90909091,both
Pentose phosphate pathway,55,5,9.090909091,mpro
Peptidoglycan biosynthesis,19,11,57.89473684,both
Peptidoglycan biosynthesis,19,1,5.263157895,mpro
Phenazine biosynthesis,13,1,7.692307692,both
Phenylalanine metabolism,67,8,11.94029851,both
Phenylalanine metabolism,67,1,1.492537313,humann2
Phenylalanine metabolism,67,5,7.462686567,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,4,10.25641026,mpro
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,1,2.564102564,humann2
"Phenylalanine, tyrosine and tryptophan biosynthesis",39,11,28.20512821,both
Phenylpropanoid biosynthesis,30,2,6.666666667,mpro
Phosphatidylinositol signaling system,29,1,3.448275862,both
Phosphatidylinositol signaling system,29,1,3.448275862,mpro
Phosphonate and phosphinate metabolism,29,1,3.448275862,humann2
Phosphonate and phosphinate metabolism,29,2,6.896551724,both
Phosphonate and phosphinate metabolism,29,1,3.448275862,mpro
Photosynthesis,3,1,33.33333333,both
Photosynthesis,3,1,33.33333333,mpro
Polyketide sugar unit biosynthesis,27,2,7.407407407,mpro
Polyketide sugar unit biosynthesis,27,2,7.407407407,both
Porphyrin and chlorophyll metabolism,106,1,0.943396226,humann2
Porphyrin and chlorophyll metabolism,106,11,10.37735849,mpro
Porphyrin and chlorophyll metabolism,106,12,11.32075472,both
Primary bile acid biosynthesis,19,1,5.263157895,mpro
Propanoate metabolism,55,6,10.90909091,mpro
Propanoate metabolism,55,3,5.454545455,humann2
Propanoate metabolism,55,6,10.90909091,both
Purine metabolism,110,9,8.181818182,mpro
Purine metabolism,110,2,1.818181818,humann2
Purine metabolism,110,37,33.63636364,both
Pyrimidine metabolism,65,6,9.230769231,mpro
Pyrimidine metabolism,65,25,38.46153846,both
Pyruvate metabolism,67,15,22.3880597,mpro
Pyruvate metabolism,67,14,20.89552239,both
Pyruvate metabolism,67,2,2.985074627,humann2
Relaxin signaling pathway,1,1,100,both
Retinol metabolism,14,1,7.142857143,both
Riboflavin metabolism,28,3,10.71428571,both
Riboflavin metabolism,28,2,7.142857143,humann2
Riboflavin metabolism,28,6,21.42857143,mpro
Secondary bile acid biosynthesis,14,1,7.142857143,humann2
Selenocompound metabolism,18,4,22.22222222,mpro
Selenocompound metabolism,18,5,27.77777778,both
Sphingolipid metabolism,27,2,7.407407407,mpro
Sphingolipid metabolism,27,1,3.703703704,both
Starch and sucrose metabolism,76,3,3.947368421,humann2
Starch and sucrose metabolism,76,12,15.78947368,both
Starch and sucrose metabolism,76,8,10.52631579,mpro
Streptomycin biosynthesis,18,4,22.22222222,both
Streptomycin biosynthesis,18,5,27.77777778,mpro
Styrene degradation,19,1,5.263157895,mpro
Styrene degradation,19,1,5.263157895,both
Sulfur metabolism,50,2,4,mpro
Sulfur metabolism,50,9,18,both
Synthesis and degradation of ketone bodies,6,2,33.33333333,mpro
T cell receptor signaling pathway,2,1,50,both
Taurine and hypotaurine metabolism,19,2,10.52631579,mpro
Taurine and hypotaurine metabolism,19,3,15.78947368,both
Terpenoid backbone biosynthesis,51,4,7.843137255,mpro
Terpenoid backbone biosynthesis,51,7,13.7254902,both
Th1 and Th2 cell differentiation,1,1,100,both
Thermogenesis,1,1,100,both
Thiamine metabolism,26,9,34.61538462,both
Thiamine metabolism,26,2,7.692307692,mpro
Toluene degradation,26,2,7.692307692,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,4,14.81481481,mpro
"Tropane, piperidine and pyridine alkaloid biosynthesis",27,1,3.703703704,both
Tryptophan metabolism,60,1,1.666666667,both
Tryptophan metabolism,60,10,16.66666667,mpro
Tyrosine metabolism,64,2,3.125,both
Tyrosine metabolism,64,1,1.5625,humann2
Tyrosine metabolism,64,2,3.125,mpro
Ubiquinone and other terpenoid-quinone biosynthesis,40,6,15,both
Ubiquinone and other terpenoid-quinone biosynthesis,40,4,10,humann2
Ubiquinone and other terpenoid-quinone biosynthesis,40,3,7.5,mpro
