UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_V2QF56,ec:4.3.1.1
UniRef90_N1ZQM6,ec:3.1.13.1
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_R6X666,ec:6.2.1.30
UniRef90_A6LFT6,ec:6.1.1.16
UniRef90_K5ZTW4,ec:3.6.4.12
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K5YLX2,ec:3.4.13.22
UniRef90_N1ZQH2,ec:3.4.11.18
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_K6A705,ec:2.7.7.2
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_K5ZK29,ec:4.2.1.113
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_A6LHY5,ec:6.1.1.19
UniRef90_R6Y439,ec:2.3.1.234
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_K5ZA43,ec:3.1.11.6
UniRef90_N1ZAZ2,ec:6.1.1.1
UniRef90_K5ZHQ6,ec:1.6.5.8
UniRef90_N1ZIG6,ec:5.99.1.3
UniRef90_K5ZG42,ec:1.8.1.4
UniRef90_D6D3N6,ec:6.1.1.22
UniRef90_K5YXD3,ec:5.2.1.8
UniRef90_K6A434,ec:1.8.1.4
UniRef90_N1Z3M1,ec:3.6.4.12
UniRef90_N1ZQN6,ec:2.7.1.144
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_A6LBD2,ec:2.1.1.228
UniRef90_K5Z1B0,ec:2.1.1.193
UniRef90_K6A478,ec:3.6.1.19
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_K5ZTR1,ec:3.4.21.89
UniRef90_V2Q202,ec:2.3.1.179
UniRef90_K5YLU6,ec:1.17.1.2
UniRef90_N1ZB99,ec:2.8.3.8
UniRef90_N1ZMM3,ec:5.99.1.3
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_K5ZLK7,ec:6.3.4.19
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_A6LEL6,ec:2.4.99.17
