Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,1,7.142857143,both
Acarbose and validamycin biosynthesis,14,2,14.28571429,mpro
Aflatoxin biosynthesis,13,1,7.692307692,mpro
"Alanine, aspartate and glutamate metabolism",50,10,20,both
"Alanine, aspartate and glutamate metabolism",50,1,2,humann2
"Alanine, aspartate and glutamate metabolism",50,11,22,mpro
Amino sugar and nucleotide sugar metabolism,119,10,8.403361345,both
Amino sugar and nucleotide sugar metabolism,119,21,17.64705882,mpro
Aminoacyl-tRNA biosynthesis,31,14,45.16129032,both
Aminoacyl-tRNA biosynthesis,31,8,25.80645161,mpro
Aminobenzoate degradation,51,2,3.921568627,mpro
Aminobenzoate degradation,51,1,1.960784314,both
Arginine and proline metabolism,86,11,12.79069767,mpro
Arginine and proline metabolism,86,3,3.488372093,both
Arginine and proline metabolism,86,1,1.162790698,humann2
Arginine biosynthesis,28,11,39.28571429,mpro
Arginine biosynthesis,28,3,10.71428571,both
Arginine biosynthesis,28,2,7.142857143,humann2
Ascorbate and aldarate metabolism,46,6,13.04347826,mpro
Atrazine degradation,10,1,10,mpro
Benzoate degradation,69,4,5.797101449,mpro
Benzoate degradation,69,1,1.449275362,both
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,63,12.7016129,both
Biosynthesis of antibiotics,496,62,12.5,mpro
Biosynthesis of antibiotics,496,5,1.008064516,humann2
Biosynthesis of secondary metabolites,778,11,1.413881748,humann2
Biosynthesis of secondary metabolites,778,81,10.41131105,both
Biosynthesis of secondary metabolites,778,91,11.6966581,mpro
Biosynthesis of siderophore group nonribosomal peptides,6,2,33.33333333,mpro
Biosynthesis of unsaturated fatty acids,16,3,18.75,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,both
Biotin metabolism,20,3,15,mpro
Biotin metabolism,20,6,30,both
Butanoate metabolism,55,4,7.272727273,mpro
Butanoate metabolism,55,5,9.090909091,both
C5-Branched dibasic acid metabolism,22,3,13.63636364,both
C5-Branched dibasic acid metabolism,22,3,13.63636364,mpro
Caprolactam degradation,21,2,9.523809524,mpro
Carbapenem biosynthesis,5,2,40,both
Carbon fixation in photosynthetic organisms,25,6,24,mpro
Carbon fixation in photosynthetic organisms,25,8,32,both
Carbon fixation pathways in prokaryotes,50,17,34,mpro
Carbon fixation pathways in prokaryotes,50,9,18,both
Chloroalkane and chloroalkene degradation,17,3,17.64705882,mpro
Chlorocyclohexane and chlorobenzene degradation,21,1,4.761904762,mpro
Citrate cycle (TCA cycle),26,7,26.92307692,both
Citrate cycle (TCA cycle),26,8,30.76923077,mpro
Cyanoamino acid metabolism,30,1,3.333333333,mpro
Cyanoamino acid metabolism,30,2,6.666666667,both
Cysteine and methionine metabolism,76,12,15.78947368,mpro
Cysteine and methionine metabolism,76,2,2.631578947,humann2
Cysteine and methionine metabolism,76,10,13.15789474,both
D-Alanine metabolism,6,2,33.33333333,both
D-Glutamine and D-glutamate metabolism,12,3,25,both
D-Glutamine and D-glutamate metabolism,12,2,16.66666667,mpro
Drug metabolism - cytochrome P450,8,1,12.5,mpro
Drug metabolism - other enzymes,25,4,16,both
Drug metabolism - other enzymes,25,3,12,mpro
Ethylbenzene degradation,6,1,16.66666667,mpro
Fatty acid biosynthesis,17,3,17.64705882,mpro
Fatty acid biosynthesis,17,5,29.41176471,both
Fatty acid degradation,29,6,20.68965517,mpro
Fatty acid degradation,29,1,3.448275862,both
Fatty acid elongation,13,3,23.07692308,mpro
Fluorobenzoate degradation,14,1,7.142857143,mpro
Folate biosynthesis,51,3,5.882352941,both
Folate biosynthesis,51,12,23.52941176,mpro
Fructose and mannose metabolism,75,6,8,both
Fructose and mannose metabolism,75,15,20,mpro
Galactose metabolism,48,3,6.25,both
Galactose metabolism,48,13,27.08333333,mpro
Geraniol degradation,10,3,30,mpro
Glucosinolate biosynthesis,15,1,6.666666667,mpro
Glutathione metabolism,39,7,17.94871795,mpro
Glutathione metabolism,39,2,5.128205128,both
Glycerolipid metabolism,40,5,12.5,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerophospholipid metabolism,61,2,3.278688525,both
Glycerophospholipid metabolism,61,6,9.836065574,mpro
"Glycine, serine and threonine metabolism",68,10,14.70588235,both
"Glycine, serine and threonine metabolism",68,16,23.52941176,mpro
Glycolysis / Gluconeogenesis,48,12,25,both
Glycolysis / Gluconeogenesis,48,13,27.08333333,mpro
Glycosaminoglycan degradation,15,2,13.33333333,mpro
Glycosphingolipid biosynthesis - ganglio series,8,2,25,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,3,23.07692308,mpro
Glyoxylate and dicarboxylate metabolism,73,15,20.54794521,mpro
Glyoxylate and dicarboxylate metabolism,73,4,5.479452055,both
Histidine metabolism,38,7,18.42105263,both
Histidine metabolism,38,5,13.15789474,mpro
Human cytomegalovirus infection,2,1,50,mpro
Human papillomavirus infection,2,1,50,mpro
