UniRef90_D4VKI7,ec:2.7.7.49
UniRef90_K5YYR5,ec:2.1.1.199
UniRef90_R6WRT3,ec:3.4.11.18
UniRef90_R6WWE4,ec:3.5.3.1
UniRef90_K5ZTE2,ec:2.4.99.17
UniRef90_V2RJ37,ec:6.1.1.9
UniRef90_A6LA39,ec:5.3.1.5
UniRef90_K5ZF52,ec:1.16.3.2
UniRef90_K5Z0T9,ec:5.4.99.25
UniRef90_R6WQT9,ec:1.6.5.8
UniRef90_K5ZTW4,ec:3.6.4.12
UniRef90_R7JAB6,ec:6.1.1.14
UniRef90_K5ZTX4,ec:2.1.1.182
UniRef90_K5ZHQ3,ec:1.6.5.8
UniRef90_K5Z605,ec:1.6.5.8
UniRef90_A6L8C6,ec:6.1.1.6
UniRef90_V2QC92,ec:5.99.1.3
UniRef90_K5YVN0,ec:6.1.1.1
UniRef90_A6LAP3,ec:6.1.1.15
UniRef90_K5ZKY1,ec:2.8.4.4
UniRef90_N1ZQH2,ec:3.4.11.18
UniRef90_K5ZRS8,ec:1.16.3.2
UniRef90_V2RHK2,ec:2.7.13.3
UniRef90_K6A9B9,ec:2.8.4.3
UniRef90_K6AYR2,ec:5.2.1.8
UniRef90_K5ZL03,ec:1.15.1.1
UniRef90_A6LFT6,ec:6.1.1.16
UniRef90_A6LGA8,ec:2.5.1.72
UniRef90_A6LBU6,ec:6.1.1.12
UniRef90_R6WQT3,ec:1.6.5.8
UniRef90_V2QAG2,ec:3.1.13.1
UniRef90_A6LGR4,ec:5.4.99.18
UniRef90_K5ZGJ4,ec:6.1.1.22
UniRef90_K5ZNC5,ec:2.4.1.281
UniRef90_K5Z6Q1,ec:2.5.1.74
UniRef90_R6Y9M8,ec:3.4.21.92
UniRef90_V2QEC4,ec:3.6.3.31
UniRef90_A6LC18,ec:3.6.5.n1
UniRef90_A6LEL6,ec:2.4.99.17
UniRef90_K6A687,ec:6.3.2.10
UniRef90_K6AUM0,ec:3.1.26.11
UniRef90_R6IIS7,ec:1.2.7.8
UniRef90_K5YU76,ec:3.4.21.89
UniRef90_K6A2B5,ec:3.4.21.89
UniRef90_A6LC32,ec:2.3.1.46
UniRef90_V2RLC0,ec:5.4.99.12
UniRef90_K5YFF9,ec:3.5.2.3
UniRef90_K5YLU6,ec:1.17.1.2
UniRef90_K5ZA43,ec:3.1.11.6
UniRef90_K5ZE89,ec:1.3.99.22
UniRef90_K6ALW4,ec:3.5.4.31
UniRef90_V2QDU6,ec:3.6.1.19
UniRef90_X5NU12,ec:1.6.5.5
UniRef90_K5Y5U3,ec:5.2.1.8
UniRef90_K5ZK29,ec:4.2.1.113
UniRef90_K6A7D9,ec:3.6.4.12
UniRef90_R6Y439,ec:2.3.1.234
UniRef90_V2QDI8,ec:5.99.1.3
UniRef90_V2QF56,ec:4.3.1.1
UniRef90_V2QH22,ec:5.2.1.8
UniRef90_V2QIM2,ec:2.6.1.11
UniRef90_A6LA57,ec:4.3.3.7
UniRef90_A6LBD2,ec:2.1.1.228
UniRef90_A6LFF6,ec:3.1.11.6
UniRef90_K5YK37,ec:3.1.26.4
UniRef90_K5YW01,ec:5.4.99.12
UniRef90_K5ZL12,ec:3.4.11.4
UniRef90_K5ZP07,ec:3.4.11.18
UniRef90_V2Q928,ec:6.1.1.3
UniRef90_V2QAC6,ec:2.7.3.9
UniRef90_V2QH17,ec:2.4.99.17
UniRef90_A6LA92,ec:6.1.1.20
UniRef90_A6LEN1,ec:3.6.3.27
UniRef90_K5XZW3,ec:1.16.3.1
UniRef90_K5YG13,ec:5.2.1.8
UniRef90_K5Z755,ec:2.1.1.223
UniRef90_K5ZLK7,ec:6.3.4.19
UniRef90_K5ZTR1,ec:3.4.21.89
UniRef90_K5ZZ56,ec:1.8.4.11
UniRef90_K6A4N7,ec:3.5.1.88
UniRef90_K6A9C4,ec:5.3.1.17
UniRef90_R5DJ85,ec:5.2.1.8
UniRef90_V2QES8,ec:3.1.1.29
UniRef90_V2QGX6,ec:3.4.21.53
