Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,1,7.142857143,mpro
Aflatoxin biosynthesis,13,1,7.692307692,mpro
"Alanine, aspartate and glutamate metabolism",50,7,14,mpro
"Alanine, aspartate and glutamate metabolism",50,3,6,humann2
"Alanine, aspartate and glutamate metabolism",50,9,18,both
Amino sugar and nucleotide sugar metabolism,119,10,8.403361345,both
Amino sugar and nucleotide sugar metabolism,119,11,9.243697479,mpro
Amino sugar and nucleotide sugar metabolism,119,1,0.840336134,humann2
Aminoacyl-tRNA biosynthesis,31,12,38.70967742,both
Aminoacyl-tRNA biosynthesis,31,10,32.25806452,mpro
Aminobenzoate degradation,51,1,1.960784314,mpro
Aminobenzoate degradation,51,1,1.960784314,both
Arginine and proline metabolism,86,7,8.139534884,mpro
Arginine and proline metabolism,86,6,6.976744186,both
Arginine and proline metabolism,86,1,1.162790698,humann2
Arginine biosynthesis,28,4,14.28571429,both
Arginine biosynthesis,28,7,25,mpro
Arginine biosynthesis,28,1,3.571428571,humann2
Ascorbate and aldarate metabolism,46,4,8.695652174,both
Ascorbate and aldarate metabolism,46,1,2.173913043,mpro
Benzoate degradation,69,2,2.898550725,mpro
Benzoate degradation,69,3,4.347826087,both
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,57,11.49193548,both
Biosynthesis of antibiotics,496,5,1.008064516,humann2
Biosynthesis of antibiotics,496,50,10.08064516,mpro
Biosynthesis of secondary metabolites,778,70,8.997429306,mpro
Biosynthesis of secondary metabolites,778,84,10.79691517,both
Biosynthesis of secondary metabolites,778,7,0.899742931,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,both
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,mpro
Biosynthesis of unsaturated fatty acids,16,1,6.25,both
Biosynthesis of vancomycin group antibiotics,10,1,10,mpro
Biotin metabolism,20,1,5,both
Biotin metabolism,20,1,5,mpro
