gi|479176048|ref|NC_021022.1|:c98848-98303	546	5	ERR899297.10038853	ERR899297.100550	ERR899297.10061411	ERR899297.10016115	ERR899297.10065410
gi|479176048|ref|NC_021022.1|:395395-396168	774	1	ERR899297.10039514
gi|479176048|ref|NC_021022.1|:c532306-531884	423	1	ERR899297.10087167
gi|479176048|ref|NC_021022.1|:546758-548680	1923	1	ERR899297.10033710
gi|479176048|ref|NC_021022.1|:702697-703716	1020	1	ERR899297.10048112
gi|479176048|ref|NC_021022.1|:840273-840461	189	1	ERR899297.10017806
gi|479176048|ref|NC_021022.1|:917890-919686	1797	1	ERR899297.10083627
gi|479176048|ref|NC_021022.1|:1112025-1114580	2556	1	ERR899297.10028248
gi|479176048|ref|NC_021022.1|:1454614-1458471	3858	1	ERR899297.10017651
gi|479176048|ref|NC_021022.1|:1471723-1472916	1194	1	ERR899297.10059052
gi|479176048|ref|NC_021022.1|:1546686-1547933	1248	1	ERR899297.10071042
gi|479176048|ref|NC_021022.1|:2440140-2440832	693	1	ERR899297.10025646
gi|479176048|ref|NC_021022.1|:2440866-2441876	1011	2	ERR899297.10088479	ERR899297.10066532
gi|479176048|ref|NC_021022.1|:2474404-2475555	1152	2	ERR899297.10020996	ERR899297.10024412
gi|479176048|ref|NC_021022.1|:c2908549-2906657	1893	1	ERR899297.10065591
gi|479176048|ref|NC_021022.1|:c3499189-3498098	1092	1	ERR899297.10020515
gi|479155735|ref|NC_021015.1|:34225-34512	288	1	ERR899297.10086136
gi|479155735|ref|NC_021015.1|:136458-137000	543	2	ERR899297.10059313	ERR899297.1000045
gi|479155735|ref|NC_021015.1|:541498-542610	1113	3	ERR899297.10031008	ERR899297.1007673	ERR899297.10046348
gi|479155735|ref|NC_021015.1|:c971894-971499	396	1	ERR899297.10021888
gi|479155735|ref|NC_021015.1|:c1063298-1059726	3573	5	ERR899297.10003509	ERR899297.10020295	ERR899297.1006711	ERR899297.1001273	ERR899297.1007318
