Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2,0,0,14,kimchi_70_ec
Aflatoxin biosynthesis,1,0,0,13,kimchi_70_ec
"Alanine, aspartate and glutamate metabolism",13,4,13,50,kimchi_70_ec
Amino sugar and nucleotide sugar metabolism,20,3,18,119,kimchi_70_ec
Aminoacyl-tRNA biosynthesis,21,0,3,31,kimchi_70_ec
Aminobenzoate degradation,1,0,4,51,kimchi_70_ec
Arachidonic acid metabolism,0,0,1,26,kimchi_70_ec
Arginine and proline metabolism,6,2,16,86,kimchi_70_ec
Arginine biosynthesis,11,0,8,28,kimchi_70_ec
Ascorbate and aldarate metabolism,3,0,11,46,kimchi_70_ec
Benzoate degradation,1,1,12,69,kimchi_70_ec
Biosynthesis of ansamycins,0,0,1,4,kimchi_70_ec
Biosynthesis of antibiotics,95,12,65,496,kimchi_70_ec
Biosynthesis of secondary metabolites,124,16,129,778,kimchi_70_ec
Biosynthesis of siderophore group nonribosomal peptides,0,1,1,6,kimchi_70_ec
Biosynthesis of terpenoids and steroids,0,0,1,1,kimchi_70_ec
Biosynthesis of unsaturated fatty acids,1,0,8,16,kimchi_70_ec
Biosynthesis of vancomycin group antibiotics,1,0,0,10,kimchi_70_ec
Biotin metabolism,3,1,5,20,kimchi_70_ec
Butanoate metabolism,3,4,11,55,kimchi_70_ec
C5-Branched dibasic acid metabolism,3,0,2,22,kimchi_70_ec
Caffeine metabolism,0,0,2,12,kimchi_70_ec
Caprolactam degradation,0,0,3,21,kimchi_70_ec
Carbapenem biosynthesis,2,0,0,5,kimchi_70_ec
Carbon fixation in photosynthetic organisms,11,1,7,25,kimchi_70_ec
Carbon fixation pathways in prokaryotes,8,0,18,50,kimchi_70_ec
Carotenoid biosynthesis,0,0,4,36,kimchi_70_ec
Chloroalkane and chloroalkene degradation,1,0,2,17,kimchi_70_ec
Chlorocyclohexane and chlorobenzene degradation,0,0,2,21,kimchi_70_ec
Citrate cycle (TCA cycle),3,0,15,26,kimchi_70_ec
"Cutin, suberine and wax biosynthesis",0,1,2,8,kimchi_70_ec
Cyanoamino acid metabolism,3,0,1,30,kimchi_70_ec
Cysteine and methionine metabolism,19,2,17,76,kimchi_70_ec
D-Alanine metabolism,2,1,1,6,kimchi_70_ec
D-Arginine and D-ornithine metabolism,0,0,1,11,kimchi_70_ec
D-Glutamine and D-glutamate metabolism,3,0,2,12,kimchi_70_ec
