GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria,462,27384,0.0.0.0,59272.72727272727
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,17440,0.0.0.0,44376.5903307888
gi|423721761|ref|NZ_JH976524.1|:c198-1|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_K6B5C7|UniRef50_K6B5C7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,198,4801,0.0.0.0,24247.474747474746
gi|262380949|ref|NZ_GG705149.1|:c3993-3688|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_unknown|UniRef50_A6L8Y4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,306,6732,0.0.0.0,22000.0
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,396,8450,0.0.0.0,21338.383838383837
gi|265758149|ref|NZ_GG705247.1|:368-826|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_unknown|UniRef50_V8CH43,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Bacteroidaceae;g_Bacteroides;s_Bacteroides dorei,459,9384,0.0.0.0,20444.444444444445
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,231,4026,0.0.0.0,17428.571428571428
gi|365126304|ref|NZ_JH414792.1|:70-315|665949|g__Tannerella.s__Tannerella_sp_6_1_58FAA_CT1|UniRef90_G9S8W7|UniRef50_I7I840,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,246,4156,0.0.0.0,16894.308943089432
gi|211596896|ref|NZ_DS264350.1|:1-160|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KR91|UniRef50_A5KR91,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,160,2449,0.0.0.0,15306.25
gi|224514740|ref|NZ_DS480694.1|:c452636-452373|208479|g__Clostridium.s__Clostridium_bolteae|UniRef90_A8RZB5|UniRef50_M1Y8K3,unclassified,264,3443,0.0.0.0,13041.666666666666
gi|224580298|ref|NZ_DS996445.1|:61866-62144|387661|g__Parabacteroides.s__Parabacteroides_johnsonii|UniRef90_A7AAS6|UniRef50_A7AAS6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,279,3118,0.0.0.0,11175.627240143369
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,1414,0.0.0.0,8569.69696969697
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,1770,0.0.0.0,7662.337662337662
gi|223667573|ref|NZ_DS264393.1|:98897-99355|88431|g__Dorea.s__Dorea_longicatena|UniRef90_A6BKY6|UniRef50_A6BKY6,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,459,3425,0.0.0.0,7461.8736383442265
gi|211596839|ref|NZ_DS264293.1|:c2400-2254|40520|g__Blautia.s__Ruminococcus_obeum|UniRef90_A5ZYU6|UniRef50_A5ZYU6,unclassified,147,1044,0.0.0.0,7102.040816326531
gi|508605261|ref|NC_019425.2|:c265514-265170|2751|g__Carnobacterium.s__Carnobacterium_maltaromaticum|UniRef90_K8EE78|UniRef50_K8EE78,root;k_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Lactobacillus;s_Lactobacillus murinus,345,2185,0.0.0.0,6333.333333333334
