Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2,0,0,14,502_colq_n_hk
"Alanine, aspartate and glutamate metabolism",11,2,6,50,502_colq_n_hk
Amino sugar and nucleotide sugar metabolism,9,1,13,119,502_colq_n_hk
Aminoacyl-tRNA biosynthesis,14,0,9,31,502_colq_n_hk
Aminobenzoate degradation,0,1,0,51,502_colq_n_hk
Arginine and proline metabolism,2,1,4,86,502_colq_n_hk
Arginine biosynthesis,3,1,9,28,502_colq_n_hk
Ascorbate and aldarate metabolism,0,0,4,46,502_colq_n_hk
Atrazine degradation,0,0,1,10,502_colq_n_hk
Benzoate degradation,0,0,2,69,502_colq_n_hk
Biosynthesis of ansamycins,0,0,1,4,502_colq_n_hk
Biosynthesis of antibiotics,56,6,43,496,502_colq_n_hk
Biosynthesis of secondary metabolites,73,8,60,778,502_colq_n_hk
Biosynthesis of unsaturated fatty acids,0,0,1,16,502_colq_n_hk
Biosynthesis of vancomycin group antibiotics,1,0,0,10,502_colq_n_hk
Biotin metabolism,2,1,3,20,502_colq_n_hk
Butanoate metabolism,3,1,4,55,502_colq_n_hk
C5-Branched dibasic acid metabolism,3,0,4,22,502_colq_n_hk
Carbapenem biosynthesis,2,0,0,5,502_colq_n_hk
Carbon fixation in photosynthetic organisms,8,0,4,25,502_colq_n_hk
Carbon fixation pathways in prokaryotes,7,0,8,50,502_colq_n_hk
Chloroalkane and chloroalkene degradation,0,0,2,17,502_colq_n_hk
Chlorocyclohexane and chlorobenzene degradation,0,0,1,21,502_colq_n_hk
Citrate cycle (TCA cycle),6,1,4,26,502_colq_n_hk
Cyanoamino acid metabolism,2,0,2,30,502_colq_n_hk
Cysteine and methionine metabolism,7,2,7,76,502_colq_n_hk
D-Alanine metabolism,1,0,1,6,502_colq_n_hk
D-Glutamine and D-glutamate metabolism,3,0,1,12,502_colq_n_hk
Drug metabolism - cytochrome P450,0,0,1,8,502_colq_n_hk
Drug metabolism - other enzymes,4,0,3,25,502_colq_n_hk
Fatty acid biosynthesis,3,2,1,17,502_colq_n_hk
Fatty acid degradation,0,0,3,29,502_colq_n_hk
Fluorobenzoate degradation,0,0,1,14,502_colq_n_hk
Folate biosynthesis,2,0,8,51,502_colq_n_hk
Fructose and mannose metabolism,8,0,6,75,502_colq_n_hk
Galactose metabolism,2,1,9,48,502_colq_n_hk
Glucosinolate biosynthesis,0,0,1,15,502_colq_n_hk
Glutathione metabolism,3,0,3,39,502_colq_n_hk
Glycerolipid metabolism,1,0,1,40,502_colq_n_hk
Glycerophospholipid metabolism,2,0,4,61,502_colq_n_hk
"Glycine, serine and threonine metabolism",8,1,9,68,502_colq_n_hk
Glycolysis / Gluconeogenesis,12,1,8,48,502_colq_n_hk
Glycosaminoglycan degradation,0,0,2,15,502_colq_n_hk
Glycosphingolipid biosynthesis - ganglio series,0,0,2,8,502_colq_n_hk
Glycosphingolipid biosynthesis - globo and isoglobo series,0,0,3,13,502_colq_n_hk
Glycosphingolipid biosynthesis - lacto and neolacto series,0,0,1,16,502_colq_n_hk
Glyoxylate and dicarboxylate metabolism,3,0,7,73,502_colq_n_hk
Histidine metabolism,6,0,5,38,502_colq_n_hk
Human cytomegalovirus infection,0,0,1,2,502_colq_n_hk
Human papillomavirus infection,0,0,1,2,502_colq_n_hk
Inositol phosphate metabolism,2,1,4,48,502_colq_n_hk
Isoquinoline alkaloid biosynthesis,0,0,1,57,502_colq_n_hk
Lipoic acid metabolism,2,0,0,3,502_colq_n_hk
Lipopolysaccharide biosynthesis,4,1,3,27,502_colq_n_hk
Lysine biosynthesis,4,3,4,28,502_colq_n_hk
Lysine degradation,0,0,4,53,502_colq_n_hk
Metabolic pathways,138,18,157,1650,502_colq_n_hk
Metabolism of xenobiotics by cytochrome P450,0,0,1,10,502_colq_n_hk
Methane metabolism,9,0,3,87,502_colq_n_hk
