Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,1,0,2,14,502_cecq_y_hk
Aflatoxin biosynthesis,0,0,1,13,502_cecq_y_hk
"Alanine, aspartate and glutamate metabolism",11,1,12,50,502_cecq_y_hk
Amino sugar and nucleotide sugar metabolism,10,0,21,119,502_cecq_y_hk
Aminoacyl-tRNA biosynthesis,15,0,8,31,502_cecq_y_hk
Aminobenzoate degradation,1,0,3,51,502_cecq_y_hk
Arginine and proline metabolism,3,1,11,86,502_cecq_y_hk
Arginine biosynthesis,4,2,11,28,502_cecq_y_hk
Ascorbate and aldarate metabolism,0,0,6,46,502_cecq_y_hk
Atrazine degradation,0,0,1,10,502_cecq_y_hk
Benzoate degradation,1,0,4,69,502_cecq_y_hk
Biosynthesis of ansamycins,0,0,1,4,502_cecq_y_hk
Biosynthesis of antibiotics,65,5,60,496,502_cecq_y_hk
Biosynthesis of secondary metabolites,85,11,88,778,502_cecq_y_hk
Biosynthesis of siderophore group nonribosomal peptides,0,0,2,6,502_cecq_y_hk
Biosynthesis of unsaturated fatty acids,0,0,3,16,502_cecq_y_hk
Biosynthesis of vancomycin group antibiotics,1,0,0,10,502_cecq_y_hk
Biotin metabolism,6,0,3,20,502_cecq_y_hk
Butanoate metabolism,5,0,4,55,502_cecq_y_hk
C5-Branched dibasic acid metabolism,3,0,3,22,502_cecq_y_hk
Caprolactam degradation,0,0,2,21,502_cecq_y_hk
Carbapenem biosynthesis,2,0,0,5,502_cecq_y_hk
Carbon fixation in photosynthetic organisms,8,0,7,25,502_cecq_y_hk
Carbon fixation pathways in prokaryotes,9,0,17,50,502_cecq_y_hk
Chloroalkane and chloroalkene degradation,0,0,3,17,502_cecq_y_hk
Chlorocyclohexane and chlorobenzene degradation,0,0,1,21,502_cecq_y_hk
Citrate cycle (TCA cycle),7,0,8,26,502_cecq_y_hk
Cyanoamino acid metabolism,2,0,2,30,502_cecq_y_hk
Cysteine and methionine metabolism,10,2,12,76,502_cecq_y_hk
D-Alanine metabolism,2,0,0,6,502_cecq_y_hk
D-Glutamine and D-glutamate metabolism,3,0,2,12,502_cecq_y_hk
Drug metabolism - cytochrome P450,0,0,1,8,502_cecq_y_hk
Drug metabolism - other enzymes,4,0,3,25,502_cecq_y_hk
Ethylbenzene degradation,0,0,1,6,502_cecq_y_hk
Fatty acid biosynthesis,5,0,3,17,502_cecq_y_hk
Fatty acid degradation,1,0,7,29,502_cecq_y_hk
Fatty acid elongation,0,0,3,13,502_cecq_y_hk
Fluorobenzoate degradation,0,0,1,14,502_cecq_y_hk
Folate biosynthesis,4,1,11,51,502_cecq_y_hk
Fructose and mannose metabolism,6,0,15,75,502_cecq_y_hk
Galactose metabolism,4,0,12,48,502_cecq_y_hk
Geraniol degradation,0,0,3,10,502_cecq_y_hk
Glucosinolate biosynthesis,0,0,1,15,502_cecq_y_hk
Glutathione metabolism,3,0,6,39,502_cecq_y_hk
Glycerolipid metabolism,1,0,5,40,502_cecq_y_hk
Glycerophospholipid metabolism,2,0,6,61,502_cecq_y_hk
"Glycine, serine and threonine metabolism",10,0,16,68,502_cecq_y_hk
Glycolysis / Gluconeogenesis,12,0,13,48,502_cecq_y_hk
Glycosaminoglycan degradation,0,0,2,15,502_cecq_y_hk
