Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2,0,0,14,504_cecm_n_hk
Aflatoxin biosynthesis,1,0,0,13,504_cecm_n_hk
"Alanine, aspartate and glutamate metabolism",13,1,5,50,504_cecm_n_hk
Amino sugar and nucleotide sugar metabolism,13,1,10,119,504_cecm_n_hk
Aminoacyl-tRNA biosynthesis,21,0,2,31,504_cecm_n_hk
Aminobenzoate degradation,0,1,2,51,504_cecm_n_hk
Arginine and proline metabolism,3,1,4,86,504_cecm_n_hk
Arginine biosynthesis,6,2,7,28,504_cecm_n_hk
Ascorbate and aldarate metabolism,0,0,6,46,504_cecm_n_hk
Benzoate degradation,0,0,3,69,504_cecm_n_hk
Biosynthesis of ansamycins,1,0,0,4,504_cecm_n_hk
Biosynthesis of antibiotics,80,11,27,496,504_cecm_n_hk
Biosynthesis of secondary metabolites,109,17,37,778,504_cecm_n_hk
Biosynthesis of unsaturated fatty acids,0,0,2,16,504_cecm_n_hk
Biosynthesis of vancomycin group antibiotics,1,0,0,10,504_cecm_n_hk
Biotin metabolism,6,0,3,20,504_cecm_n_hk
Butanoate metabolism,3,1,6,55,504_cecm_n_hk
C5-Branched dibasic acid metabolism,3,0,3,22,504_cecm_n_hk
Caprolactam degradation,0,0,1,21,504_cecm_n_hk
Carbapenem biosynthesis,2,0,0,5,504_cecm_n_hk
Carbon fixation in photosynthetic organisms,9,0,4,25,504_cecm_n_hk
Carbon fixation pathways in prokaryotes,9,0,10,50,504_cecm_n_hk
Chloroalkane and chloroalkene degradation,0,0,3,17,504_cecm_n_hk
Citrate cycle (TCA cycle),6,1,3,26,504_cecm_n_hk
Cyanoamino acid metabolism,2,0,1,30,504_cecm_n_hk
Cysteine and methionine metabolism,13,2,6,76,504_cecm_n_hk
D-Alanine metabolism,2,0,0,6,504_cecm_n_hk
D-Glutamine and D-glutamate metabolism,4,0,0,12,504_cecm_n_hk
Dioxin degradation,0,0,1,13,504_cecm_n_hk
Drug metabolism - cytochrome P450,0,0,2,8,504_cecm_n_hk
Drug metabolism - other enzymes,5,0,6,25,504_cecm_n_hk
Ether lipid metabolism,0,0,1,23,504_cecm_n_hk
Fatty acid biosynthesis,6,0,1,17,504_cecm_n_hk
Fatty acid degradation,0,0,4,29,504_cecm_n_hk
Fatty acid elongation,0,0,1,13,504_cecm_n_hk
Folate biosynthesis,4,1,10,51,504_cecm_n_hk
Fructose and mannose metabolism,10,0,7,75,504_cecm_n_hk
Galactose metabolism,6,2,4,48,504_cecm_n_hk
Geraniol degradation,0,0,1,10,504_cecm_n_hk
Glucosinolate biosynthesis,0,0,1,15,504_cecm_n_hk
Glutathione metabolism,3,0,5,39,504_cecm_n_hk
Glycerolipid metabolism,1,1,4,40,504_cecm_n_hk
Glycerophospholipid metabolism,3,1,5,61,504_cecm_n_hk
"Glycine, serine and threonine metabolism",11,2,6,68,504_cecm_n_hk
Glycolysis / Gluconeogenesis,13,1,6,48,504_cecm_n_hk
Glycosaminoglycan degradation,2,0,0,15,504_cecm_n_hk
Glycosphingolipid biosynthesis - ganglio series,2,0,0,8,504_cecm_n_hk
Glycosphingolipid biosynthesis - globo and isoglobo series,1,0,2,13,504_cecm_n_hk
Glyoxylate and dicarboxylate metabolism,3,0,6,73,504_cecm_n_hk
Histidine metabolism,9,0,3,38,504_cecm_n_hk
Human cytomegalovirus infection,0,0,1,2,504_cecm_n_hk
Human papillomavirus infection,0,0,1,2,504_cecm_n_hk
Inositol phosphate metabolism,3,1,3,48,504_cecm_n_hk
Insect hormone biosynthesis,0,0,1,9,504_cecm_n_hk
Isoquinoline alkaloid biosynthesis,0,0,1,57,504_cecm_n_hk
Limonene and pinene degradation,0,0,2,16,504_cecm_n_hk
Lipoic acid metabolism,2,0,0,3,504_cecm_n_hk
Lipopolysaccharide biosynthesis,6,0,4,27,504_cecm_n_hk
