Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2.0,0.0,0.0,14,502_cecq_n_hk
Aflatoxin biosynthesis,0.0,1.0,0.0,13,502_cecq_n_hk
"Alanine, aspartate and glutamate metabolism",13.0,1.0,6.0,50,502_cecq_n_hk
Amino sugar and nucleotide sugar metabolism,9.0,1.0,14.0,119,502_cecq_n_hk
Aminoacyl-tRNA biosynthesis,14.0,0.0,8.0,31,502_cecq_n_hk
Aminobenzoate degradation,1.0,1.0,0.0,51,502_cecq_n_hk
Arginine and proline metabolism,8.0,1.0,6.0,86,502_cecq_n_hk
Arginine biosynthesis,8.0,1.0,7.0,28,502_cecq_n_hk
Ascorbate and aldarate metabolism,4.0,1.0,2.0,46,502_cecq_n_hk
Atrazine degradation,0.0,0.0,1.0,10,502_cecq_n_hk
Benzoate degradation,3.0,1.0,3.0,69,502_cecq_n_hk
Biosynthesis of ansamycins,0.0,0.0,1.0,4,502_cecq_n_hk
Biosynthesis of antibiotics,61.0,11.0,40.0,496,502_cecq_n_hk
Biosynthesis of secondary metabolites,75.0,15.0,60.0,778,502_cecq_n_hk
Biosynthesis of siderophore group nonribosomal peptides,1.0,1.0,0.0,6,502_cecq_n_hk
Biosynthesis of unsaturated fatty acids,0.0,1.0,1.0,16,502_cecq_n_hk
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,502_cecq_n_hk
Biotin metabolism,2.0,1.0,2.0,20,502_cecq_n_hk
Butanoate metabolism,9.0,1.0,1.0,55,502_cecq_n_hk
C5-Branched dibasic acid metabolism,3.0,0.0,2.0,22,502_cecq_n_hk
Caprolactam degradation,0.0,1.0,1.0,21,502_cecq_n_hk
Carbapenem biosynthesis,1.0,0.0,1.0,5,502_cecq_n_hk
Carbon fixation in photosynthetic organisms,7.0,0.0,7.0,25,502_cecq_n_hk
Carbon fixation pathways in prokaryotes,8.0,2.0,11.0,50,502_cecq_n_hk
Chloroalkane and chloroalkene degradation,1.0,0.0,1.0,17,502_cecq_n_hk
Chlorocyclohexane and chlorobenzene degradation,0.0,0.0,1.0,21,502_cecq_n_hk
Citrate cycle (TCA cycle),8.0,0.0,4.0,26,502_cecq_n_hk
Cyanoamino acid metabolism,4.0,0.0,1.0,30,502_cecq_n_hk
Cysteine and methionine metabolism,10.0,1.0,13.0,76,502_cecq_n_hk
D-Alanine metabolism,2.0,0.0,0.0,6,502_cecq_n_hk
D-Glutamine and D-glutamate metabolism,4.0,0.0,0.0,12,502_cecq_n_hk
Dioxin degradation,2.0,0.0,1.0,13,502_cecq_n_hk
Drug metabolism - cytochrome P450,1.0,1.0,0.0,8,502_cecq_n_hk
Drug metabolism - other enzymes,5.0,0.0,4.0,25,502_cecq_n_hk
Fatty acid biosynthesis,1.0,4.0,2.0,17,502_cecq_n_hk
Fatty acid degradation,3.0,1.0,2.0,29,502_cecq_n_hk
Fatty acid elongation,0.0,1.0,1.0,13,502_cecq_n_hk
Fluorobenzoate degradation,0.0,0.0,1.0,14,502_cecq_n_hk
Folate biosynthesis,4.0,0.0,4.0,51,502_cecq_n_hk
Fructose and mannose metabolism,8.0,1.0,5.0,75,502_cecq_n_hk
Galactose metabolism,6.0,1.0,6.0,48,502_cecq_n_hk
Geraniol degradation,0.0,1.0,1.0,10,502_cecq_n_hk
Glucosinolate biosynthesis,0.0,0.0,1.0,15,502_cecq_n_hk
Glutathione metabolism,5.0,1.0,6.0,39,502_cecq_n_hk
Glycerolipid metabolism,1.0,0.0,4.0,40,502_cecq_n_hk
Glycerophospholipid metabolism,2.0,0.0,4.0,61,502_cecq_n_hk
"Glycine, serine and threonine metabolism",15.0,1.0,5.0,68,502_cecq_n_hk
Glycolysis / Gluconeogenesis,13.0,1.0,9.0,48,502_cecq_n_hk
Glycosaminoglycan degradation,0.0,0.0,2.0,15,502_cecq_n_hk
Glycosphingolipid biosynthesis - ganglio series,0.0,0.0,2.0,8,502_cecq_n_hk
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0.0,3.0,13,502_cecq_n_hk
Glyoxylate and dicarboxylate metabolism,6.0,1.0,5.0,73,502_cecq_n_hk
Histidine metabolism,2.0,3.0,7.0,38,502_cecq_n_hk
Human cytomegalovirus infection,0.0,0.0,1.0,2,502_cecq_n_hk
Human papillomavirus infection,0.0,0.0,1.0,2,502_cecq_n_hk
Inositol phosphate metabolism,1.0,0.0,2.0,48,502_cecq_n_hk
Insect hormone biosynthesis,0.0,0.0,1.0,9,502_cecq_n_hk
Isoquinoline alkaloid biosynthesis,1.0,0.0,0.0,57,502_cecq_n_hk
Limonene and pinene degradation,0.0,1.0,1.0,16,502_cecq_n_hk
Lipopolysaccharide biosynthesis,3.0,0.0,2.0,27,502_cecq_n_hk
Lysine biosynthesis,5.0,2.0,4.0,28,502_cecq_n_hk
Lysine degradation,2.0,1.0,4.0,53,502_cecq_n_hk
Metabolic pathways,169.0,31.0,138.0,1650,502_cecq_n_hk
Metabolism of xenobiotics by cytochrome P450,1.0,1.0,0.0,10,502_cecq_n_hk
Methane metabolism,11.0,1.0,5.0,87,502_cecq_n_hk
Microbial metabolism in diverse environments,60.0,10.0,38.0,668,502_cecq_n_hk
Monobactam biosynthesis,2.0,2.0,1.0,10,502_cecq_n_hk
Naphthalene degradation,1.0,0.0,0.0,9,502_cecq_n_hk
Nicotinate and nicotinamide metabolism,3.0,2.0,3.0,59,502_cecq_n_hk
Nitrogen metabolism,1.0,0.0,4.0,37,502_cecq_n_hk
Nitrotoluene degradation,1.0,0.0,0.0,7,502_cecq_n_hk
Novobiocin biosynthesis,1.0,0.0,1.0,16,502_cecq_n_hk
One carbon pool by folate,5.0,1.0,5.0,24,502_cecq_n_hk
Other glycan degradation,0.0,0.0,3.0,9,502_cecq_n_hk
Oxidative phosphorylation,4.0,0.0,1.0,11,502_cecq_n_hk
PI3K-Akt signaling pathway,0.0,0.0,1.0,2,502_cecq_n_hk
Pantothenate and CoA biosynthesis,10.0,1.0,2.0,31,502_cecq_n_hk
Penicillin and cephalosporin biosynthesis,0.0,1.0,0.0,14,502_cecq_n_hk
Pentose and glucuronate interconversions,10.0,3.0,1.0,67,502_cecq_n_hk
Pentose phosphate pathway,11.0,0.0,6.0,55,502_cecq_n_hk
Peptidoglycan biosynthesis,8.0,0.0,2.0,19,502_cecq_n_hk
Phenazine biosynthesis,1.0,0.0,0.0,13,502_cecq_n_hk
Phenylalanine metabolism,5.0,3.0,2.0,67,502_cecq_n_hk
"Phenylalanine, tyrosine and tryptophan biosynthesis",6.0,0.0,4.0,39,502_cecq_n_hk
Phenylpropanoid biosynthesis,1.0,0.0,0.0,30,502_cecq_n_hk
Phosphatidylinositol signaling system,1.0,0.0,0.0,29,502_cecq_n_hk
Phosphonate and phosphinate metabolism,1.0,2.0,1.0,29,502_cecq_n_hk
Photosynthesis,1.0,0.0,0.0,3,502_cecq_n_hk
Polyketide sugar unit biosynthesis,2.0,0.0,0.0,27,502_cecq_n_hk
