Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,0,0,1,14,504_cecq_n_hk
Aflatoxin biosynthesis,1,0,0,13,504_cecq_n_hk
"Alanine, aspartate and glutamate metabolism",9,5,7,50,504_cecq_n_hk
Amino sugar and nucleotide sugar metabolism,9,1,13,119,504_cecq_n_hk
Aminoacyl-tRNA biosynthesis,12,0,10,31,504_cecq_n_hk
Aminobenzoate degradation,1,0,1,51,504_cecq_n_hk
Arginine and proline metabolism,6,1,7,86,504_cecq_n_hk
Arginine biosynthesis,5,1,6,28,504_cecq_n_hk
Ascorbate and aldarate metabolism,4,0,1,46,504_cecq_n_hk
Benzoate degradation,3,0,2,69,504_cecq_n_hk
Biosynthesis of ansamycins,0,0,1,4,504_cecq_n_hk
Biosynthesis of antibiotics,60,6,49,496,504_cecq_n_hk
Biosynthesis of secondary metabolites,85,10,70,778,504_cecq_n_hk
Biosynthesis of siderophore group nonribosomal peptides,1,1,1,6,504_cecq_n_hk
Biosynthesis of unsaturated fatty acids,1,0,0,16,504_cecq_n_hk
Biosynthesis of vancomycin group antibiotics,0,0,1,10,504_cecq_n_hk
Biotin metabolism,1,2,1,20,504_cecq_n_hk
Butanoate metabolism,5,2,4,55,504_cecq_n_hk
C5-Branched dibasic acid metabolism,3,0,1,22,504_cecq_n_hk
Caprolactam degradation,1,0,1,21,504_cecq_n_hk
Carbapenem biosynthesis,0,0,1,5,504_cecq_n_hk
Carbon fixation in photosynthetic organisms,8,0,4,25,504_cecq_n_hk
Carbon fixation pathways in prokaryotes,8,0,17,50,504_cecq_n_hk
Chloroalkane and chloroalkene degradation,0,0,1,17,504_cecq_n_hk
Citrate cycle (TCA cycle),8,0,8,26,504_cecq_n_hk
Cyanoamino acid metabolism,1,1,1,30,504_cecq_n_hk
Cysteine and methionine metabolism,9,2,11,76,504_cecq_n_hk
D-Alanine metabolism,1,0,1,6,504_cecq_n_hk
D-Glutamine and D-glutamate metabolism,2,0,2,12,504_cecq_n_hk
Dioxin degradation,1,0,0,13,504_cecq_n_hk
Drug metabolism - cytochrome P450,0,1,1,8,504_cecq_n_hk
Drug metabolism - other enzymes,4,1,5,25,504_cecq_n_hk
Fatty acid biosynthesis,5,2,0,17,504_cecq_n_hk
Fatty acid degradation,2,0,3,29,504_cecq_n_hk
Fatty acid elongation,1,0,1,13,504_cecq_n_hk
Folate biosynthesis,4,0,7,51,504_cecq_n_hk
Fructose and mannose metabolism,9,0,7,75,504_cecq_n_hk
Galactose metabolism,7,0,8,48,504_cecq_n_hk
Geraniol degradation,1,0,1,10,504_cecq_n_hk
Glucosinolate biosynthesis,0,0,1,15,504_cecq_n_hk
Glutathione metabolism,6,1,3,39,504_cecq_n_hk
Glycerolipid metabolism,3,0,3,40,504_cecq_n_hk
Glycerophospholipid metabolism,6,0,4,61,504_cecq_n_hk
"Glycine, serine and threonine metabolism",13,2,12,68,504_cecq_n_hk
Glycolysis / Gluconeogenesis,13,0,10,48,504_cecq_n_hk
Glycosaminoglycan degradation,0,0,2,15,504_cecq_n_hk
Glycosphingolipid biosynthesis - ganglio series,0,0,2,8,504_cecq_n_hk
Glycosphingolipid biosynthesis - globo and isoglobo series,1,0,2,13,504_cecq_n_hk
Glyoxylate and dicarboxylate metabolism,8,0,5,73,504_cecq_n_hk
Histidine metabolism,4,0,6,38,504_cecq_n_hk
Human cytomegalovirus infection,1,0,0,2,504_cecq_n_hk
Human papillomavirus infection,1,0,0,2,504_cecq_n_hk
Inositol phosphate metabolism,1,0,4,48,504_cecq_n_hk
Isoquinoline alkaloid biosynthesis,0,0,2,57,504_cecq_n_hk
Limonene and pinene degradation,1,0,0,16,504_cecq_n_hk
Lipoic acid metabolism,1,0,1,3,504_cecq_n_hk
Lipopolysaccharide biosynthesis,3,0,4,27,504_cecq_n_hk
Lysine biosynthesis,3,0,3,28,504_cecq_n_hk
Lysine degradation,1,0,4,53,504_cecq_n_hk
Metabolic pathways,164,21,159,1650,504_cecq_n_hk
Metabolism of xenobiotics by cytochrome P450,0,1,1,10,504_cecq_n_hk
Methane metabolism,10,0,7,87,504_cecq_n_hk
Microbial metabolism in diverse environments,58,4,48,668,504_cecq_n_hk
Monobactam biosynthesis,3,0,0,10,504_cecq_n_hk
Naphthalene degradation,0,0,1,9,504_cecq_n_hk
Nicotinate and nicotinamide metabolism,3,2,5,59,504_cecq_n_hk
Nitrogen metabolism,4,0,2,37,504_cecq_n_hk
Nitrotoluene degradation,1,0,0,7,504_cecq_n_hk
