Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,2.0,0.0,0.0,14,502_cecq_n_new
Aflatoxin biosynthesis,0.0,1.0,0.0,13,502_cecq_n_new
"Alanine, aspartate and glutamate metabolism",11.0,1.0,8.0,50,502_cecq_n_new
Amino sugar and nucleotide sugar metabolism,8.0,1.0,15.0,119,502_cecq_n_new
Aminoacyl-tRNA biosynthesis,12.0,0.0,10.0,31,502_cecq_n_new
Aminobenzoate degradation,1.0,1.0,0.0,51,502_cecq_n_new
Arginine and proline metabolism,7.0,1.0,7.0,86,502_cecq_n_new
Arginine biosynthesis,7.0,1.0,8.0,28,502_cecq_n_new
Ascorbate and aldarate metabolism,4.0,1.0,2.0,46,502_cecq_n_new
Atrazine degradation,0.0,0.0,1.0,10,502_cecq_n_new
Benzoate degradation,3.0,1.0,3.0,69,502_cecq_n_new
Biosynthesis of ansamycins,0.0,0.0,1.0,4,502_cecq_n_new
Biosynthesis of antibiotics,58.0,7.0,43.0,496,502_cecq_n_new
Biosynthesis of secondary metabolites,69.0,9.0,66.0,778,502_cecq_n_new
Biosynthesis of siderophore group nonribosomal peptides,1.0,0.0,0.0,6,502_cecq_n_new
Biosynthesis of unsaturated fatty acids,0.0,1.0,1.0,16,502_cecq_n_new
Biosynthesis of vancomycin group antibiotics,1.0,0.0,0.0,10,502_cecq_n_new
Biotin metabolism,1.0,1.0,3.0,20,502_cecq_n_new
Butanoate metabolism,8.0,1.0,2.0,55,502_cecq_n_new
C5-Branched dibasic acid metabolism,3.0,0.0,2.0,22,502_cecq_n_new
Caprolactam degradation,0.0,1.0,1.0,21,502_cecq_n_new
Carbapenem biosynthesis,1.0,0.0,1.0,5,502_cecq_n_new
Carbon fixation in photosynthetic organisms,7.0,0.0,7.0,25,502_cecq_n_new
Carbon fixation pathways in prokaryotes,8.0,2.0,11.0,50,502_cecq_n_new
Chloroalkane and chloroalkene degradation,1.0,0.0,1.0,17,502_cecq_n_new
Chlorocyclohexane and chlorobenzene degradation,0.0,0.0,1.0,21,502_cecq_n_new
Citrate cycle (TCA cycle),8.0,0.0,4.0,26,502_cecq_n_new
Cyanoamino acid metabolism,2.0,0.0,3.0,30,502_cecq_n_new
Cysteine and methionine metabolism,10.0,1.0,13.0,76,502_cecq_n_new
D-Alanine metabolism,2.0,0.0,0.0,6,502_cecq_n_new
D-Glutamine and D-glutamate metabolism,4.0,0.0,0.0,12,502_cecq_n_new
Dioxin degradation,2.0,0.0,1.0,13,502_cecq_n_new
Drug metabolism - cytochrome P450,1.0,1.0,0.0,8,502_cecq_n_new
Drug metabolism - other enzymes,5.0,0.0,4.0,25,502_cecq_n_new
Fatty acid biosynthesis,1.0,3.0,2.0,17,502_cecq_n_new
Fatty acid degradation,3.0,1.0,2.0,29,502_cecq_n_new
Fatty acid elongation,0.0,1.0,1.0,13,502_cecq_n_new
Fluorobenzoate degradation,0.0,0.0,1.0,14,502_cecq_n_new
Folate biosynthesis,4.0,0.0,4.0,51,502_cecq_n_new
Fructose and mannose metabolism,7.0,1.0,6.0,75,502_cecq_n_new
Galactose metabolism,6.0,1.0,6.0,48,502_cecq_n_new
Geraniol degradation,0.0,1.0,1.0,10,502_cecq_n_new
Glucosinolate biosynthesis,0.0,0.0,1.0,15,502_cecq_n_new
Glutathione metabolism,5.0,1.0,6.0,39,502_cecq_n_new
Glycerolipid metabolism,2.0,0.0,3.0,40,502_cecq_n_new
Glycerophospholipid metabolism,2.0,0.0,4.0,61,502_cecq_n_new
"Glycine, serine and threonine metabolism",13.0,1.0,7.0,68,502_cecq_n_new
Glycolysis / Gluconeogenesis,13.0,1.0,9.0,48,502_cecq_n_new
Glycosaminoglycan degradation,0.0,0.0,2.0,15,502_cecq_n_new
Glycosphingolipid biosynthesis - ganglio series,0.0,0.0,2.0,8,502_cecq_n_new
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0.0,3.0,13,502_cecq_n_new
Glyoxylate and dicarboxylate metabolism,5.0,1.0,6.0,73,502_cecq_n_new
Histidine metabolism,2.0,2.0,7.0,38,502_cecq_n_new
Human cytomegalovirus infection,0.0,0.0,1.0,2,502_cecq_n_new
Human papillomavirus infection,0.0,0.0,1.0,2,502_cecq_n_new
