Pathway,both,humann2,mpro,num_Ecs,sample
Acarbose and validamycin biosynthesis,0.0,0.0,1.0,14,501_colq_n_new
"Alanine, aspartate and glutamate metabolism",7.0,1.0,4.0,50,501_colq_n_new
Amino sugar and nucleotide sugar metabolism,3.0,1.0,13.0,119,501_colq_n_new
Aminoacyl-tRNA biosynthesis,8.0,0.0,13.0,31,501_colq_n_new
Aminobenzoate degradation,0.0,1.0,0.0,51,501_colq_n_new
Arginine and proline metabolism,3.0,1.0,3.0,86,501_colq_n_new
Arginine biosynthesis,2.0,1.0,4.0,28,501_colq_n_new
Ascorbate and aldarate metabolism,0.0,0.0,1.0,46,501_colq_n_new
Atrazine degradation,0.0,0.0,1.0,10,501_colq_n_new
Biosynthesis of ansamycins,0.0,0.0,1.0,4,501_colq_n_new
Biosynthesis of antibiotics,40.0,6.0,35.0,496,501_colq_n_new
Biosynthesis of secondary metabolites,53.0,7.0,44.0,778,501_colq_n_new
Biosynthesis of unsaturated fatty acids,0.0,0.0,1.0,16,501_colq_n_new
Biosynthesis of vancomycin group antibiotics,0.0,0.0,1.0,10,501_colq_n_new
Biotin metabolism,0.0,1.0,3.0,20,501_colq_n_new
Butanoate metabolism,1.0,1.0,3.0,55,501_colq_n_new
C5-Branched dibasic acid metabolism,3.0,0.0,2.0,22,501_colq_n_new
Carbapenem biosynthesis,2.0,0.0,0.0,5,501_colq_n_new
Carbon fixation in photosynthetic organisms,5.0,0.0,6.0,25,501_colq_n_new
Carbon fixation pathways in prokaryotes,6.0,1.0,9.0,50,501_colq_n_new
Chloroalkane and chloroalkene degradation,0.0,0.0,1.0,17,501_colq_n_new
Citrate cycle (TCA cycle),5.0,1.0,2.0,26,501_colq_n_new
Cyanoamino acid metabolism,2.0,0.0,1.0,30,501_colq_n_new
Cysteine and methionine metabolism,6.0,2.0,7.0,76,501_colq_n_new
D-Alanine metabolism,1.0,0.0,1.0,6,501_colq_n_new
D-Glutamine and D-glutamate metabolism,3.0,0.0,0.0,12,501_colq_n_new
Drug metabolism - cytochrome P450,0.0,0.0,1.0,8,501_colq_n_new
Drug metabolism - other enzymes,4.0,0.0,3.0,25,501_colq_n_new
Fatty acid biosynthesis,2.0,1.0,2.0,17,501_colq_n_new
Fatty acid degradation,0.0,0.0,1.0,29,501_colq_n_new
Folate biosynthesis,1.0,1.0,4.0,51,501_colq_n_new
Fructose and mannose metabolism,5.0,0.0,8.0,75,501_colq_n_new
Galactose metabolism,1.0,1.0,8.0,48,501_colq_n_new
Glutathione metabolism,3.0,0.0,2.0,39,501_colq_n_new
Glycerolipid metabolism,1.0,0.0,1.0,40,501_colq_n_new
Glycerophospholipid metabolism,0.0,0.0,3.0,61,501_colq_n_new
"Glycine, serine and threonine metabolism",8.0,1.0,7.0,68,501_colq_n_new
Glycolysis / Gluconeogenesis,10.0,1.0,7.0,48,501_colq_n_new
Glycosaminoglycan degradation,0.0,0.0,2.0,15,501_colq_n_new
Glycosphingolipid biosynthesis - ganglio series,0.0,0.0,2.0,8,501_colq_n_new
Glycosphingolipid biosynthesis - globo and isoglobo series,0.0,0.0,3.0,13,501_colq_n_new
Glyoxylate and dicarboxylate metabolism,3.0,0.0,4.0,73,501_colq_n_new
Histidine metabolism,5.0,0.0,2.0,38,501_colq_n_new
Human cytomegalovirus infection,0.0,0.0,1.0,2,501_colq_n_new
Human papillomavirus infection,0.0,0.0,1.0,2,501_colq_n_new
Inositol phosphate metabolism,1.0,0.0,3.0,48,501_colq_n_new
Isoquinoline alkaloid biosynthesis,0.0,0.0,1.0,57,501_colq_n_new
Lipopolysaccharide biosynthesis,2.0,1.0,1.0,27,501_colq_n_new
Lysine biosynthesis,3.0,2.0,3.0,28,501_colq_n_new
Metabolic pathways,90.0,16.0,114.0,1650,501_colq_n_new
Metabolism of xenobiotics by cytochrome P450,0.0,0.0,1.0,10,501_colq_n_new
Methane metabolism,9.0,0.0,3.0,87,501_colq_n_new
Microbial metabolism in diverse environments,25.0,6.0,36.0,668,501_colq_n_new
