uniref,ec
UNMAPPED,0
UniRef90_unknown,0
UniRef90_A7ACF2,0
UniRef90_S0GJR7,0
UniRef90_B5CUP9,0
UniRef90_D1KAJ3,0
UniRef90_V1EAX6,0
UniRef90_D0TKA0,0
UniRef90_A5ZQM1,0
UniRef90_UPI000156FA79,0
UniRef90_A7AJP8,0
UniRef90_R9J210,0
UniRef90_S7K4H7,0
UniRef90_A5ZLI4,0
UniRef90_B3C522,0
UniRef90_K0WTB3,0
UniRef90_UPI00015BEA70,0
UniRef90_A7AJP9,0
UniRef90_G9S8W7,0
UniRef90_E0XVH4,0
UniRef90_A8RZB5,0
UniRef90_D4CI29,0
UniRef90_A0A015S3B6,0
UniRef90_UPI0001DE5DFE,0
UniRef90_N2B405,0
UniRef90_A7SPZ4,0
UniRef90_D9UEL3,0
UniRef90_A7B6K6,0
UniRef90_A7B8Q0,0
UniRef90_B1QRR6,0
UniRef90_UPI0001532979,0
UniRef90_Q4YHT4,0
UniRef90_Q4YHX4,0
UniRef90_UPI00019656B7,0
UniRef90_W8YEK8,0
UniRef90_Q4YA27,0
UniRef90_N1ZAM5,0
UniRef90_Q4YHF0,0
UniRef90_UPI00019660E0,0
UniRef90_Q4YI61,0
UniRef90_A7VEM4,0
UniRef90_UPI00029B13CF,0
UniRef90_K6AQ86,0
UniRef90_B0NWG2,0
UniRef90_N1ZJP8,0
UniRef90_N1ZD63,0
UniRef90_X1E4R2,0
UniRef90_R9D7R0,0
UniRef90_D6SEF8,0
UniRef90_K5Z1A3,0
UniRef90_UPI000156186B,0
UniRef90_N2ASE1,0
UniRef90_W8YNF3,0
UniRef90_UPI0001FD331E,0
UniRef90_K5ZU07,0
UniRef90_D4VKI7,2.7.7.49
UniRef90_W1YU10,0
UniRef90_G6AJF3,0
UniRef90_W1WT70,0
UniRef90_T1DKC0,0
UniRef90_N2BCN4,0
UniRef90_Q4YHW5,0
UniRef90_H4BMF2,0
UniRef90_N1ZRS8,0
UniRef90_Q7R6V5,0
UniRef90_A0A009X8S5,0
UniRef90_N1Z1T4,0
UniRef90_K5YZ96,0
UniRef90_N1ZLN7,0
UniRef90_Q7R7S4,0
UniRef90_K5Z513,0
UniRef90_K5YVI7,3.1.3.71
UniRef90_Q4YA17,0
UniRef90_F7AA48,0
UniRef90_K5ZUN2,0
UniRef90_K6A0T5,0
UniRef90_R6X5K9,0
UniRef90_Q4YJU8,0
UniRef90_N2B6Q5,0
UniRef90_X0ZJG6,0
UniRef90_A7VD49,0
UniRef90_Q4YI79,0
UniRef90_A7B5X1,0
UniRef90_Q7R7L8,0
UniRef90_A5KRL1,0
UniRef90_N1ZHM2,0
UniRef90_K6AX53,0
UniRef90_G7SQ06,0
UniRef90_A2VD29,0
UniRef90_Q5L7N5,4.1.1.49
UniRef90_K6A6P6,0
UniRef90_N1Z5G2,0
UniRef90_N1ZJF3,2.7.7.27
UniRef90_Q4YK64,0
UniRef90_W6U045,0
UniRef90_K8EDY4,0
UniRef90_N2BA98,0
UniRef90_R6XBD7,0
UniRef90_N1ZD44,0
UniRef90_K5YUI7,0
UniRef90_K5ZDK4,0
UniRef90_K6A0M8,0
UniRef90_W2CMU2,0
UniRef90_N2BJ19,0
UniRef90_R6IBF4,0
UniRef90_N1ZJP4,0
UniRef90_Q4X813,0
UniRef90_K5ZST5,0
UniRef90_UPI000185C9BD,0
UniRef90_Q4YHQ3,0
UniRef90_N2AGZ2,0
UniRef90_K5Y486,0
UniRef90_K5ZYR5,0
UniRef90_X1DQU4,0
UniRef90_A6LIG0,0
UniRef90_Q59199,1.2.1.12
UniRef90_K5YY74,0
UniRef90_UPI0001FABDB5,0
UniRef90_K6AGP0,0
UniRef90_N1ZDV0,0
UniRef90_G1Q1K5,0
UniRef90_A5ZQM3,0
UniRef90_K5ZV60,0
UniRef90_N2AR07,0
UniRef90_G1Q6C2,0
UniRef90_K5Y8G4,0
UniRef90_N1Z3G2,0
UniRef90_N2AMZ1,0
UniRef90_N2B3Q6,0
UniRef90_A7VEU0,0
UniRef90_Q4YJ71,0
UniRef90_A5ZYV5,0
UniRef90_Q7R7D8,0
UniRef90_K5Y8F0,0
UniRef90_K5YYR5,2.1.1.199
UniRef90_K5ZEC5,0
UniRef90_UPI0002487685,0
UniRef90_A5ZYV3,0
UniRef90_K5ZYN1,0
UniRef90_R0CI69,0
UniRef90_A6BKY9,0
UniRef90_A7VJ92,0
UniRef90_A6LE88,0
UniRef90_N1ZM68,0
UniRef90_K6AGA7,0
UniRef90_Q4YH89,0
UniRef90_Q7R7M0,0
UniRef90_E5VPR3,0
UniRef90_K5ZVN3,0
UniRef90_K6A913,0
UniRef90_K6ALV9,0
UniRef90_K6AYS9,0
UniRef90_N2B053,0
UniRef90_N2B6P7,0
UniRef90_Q4X778,0
UniRef90_R5DPL5,0
UniRef90_K5ZRS4,0
UniRef90_K6A917,0
UniRef90_A8SIA6,0
UniRef90_Q4YHX5,0
UniRef90_G1Q0M0,0
UniRef90_K5Y6S4,0
UniRef90_K6AHB1,0
UniRef90_UPI0001DA96E4,0
UniRef90_A5ZYV6,0
UniRef90_K5ZNM3,0
UniRef90_N2AX94,0
UniRef90_K5ZVM8,0
UniRef90_K5YTQ0,0
UniRef90_K5ZTE6,0
UniRef90_Q4YHQ2,0
UniRef90_A5ZYU6,0
UniRef90_N2AMG6,0
UniRef90_N2B341,0
UniRef90_K5YK69,0
UniRef90_A5ZYV7,0
UniRef90_N1ZMZ6,0
UniRef90_R5DBG0,4.3.2.2
UniRef90_K5ZLJ3,0
UniRef90_K6AEI2,0
UniRef90_N1ZG73,0
UniRef90_N2B0G6,0
UniRef90_A7LQH0,0
UniRef90_N2AVB7,0
UniRef90_R6WWF6,0
UniRef90_N1ZLM4,0
UniRef90_K5YVS1,0
UniRef90_K5Z9T8,0
UniRef90_R6WP78,0
UniRef90_A6P028,0
UniRef90_C1BRN8,0
UniRef90_K6A234,0
UniRef90_N1Z5G6,0
UniRef90_A5ZYK8,0
UniRef90_Q4XDB9,0
UniRef90_D3Z496,0
UniRef90_B5CLP5,0
UniRef90_A7VD51,0
UniRef90_K6AUL6,0
UniRef90_R6WQ56,0
UniRef90_A5KRI7,0
UniRef90_A7B6Q1,0
UniRef90_K5Y8F4,0
UniRef90_N2BHC2,0
UniRef90_R6WRT3,3.4.11.18
UniRef90_R6WWE4,3.5.3.1
UniRef90_Q4YD51,0
UniRef90_A6LCV6,0
UniRef90_K5ZP27,2.6.1.52
UniRef90_K5ZGT5,0
UniRef90_N2B046,0
UniRef90_A5Z324,0
UniRef90_Q4X6X1,0
UniRef90_N1Z9E8,0
UniRef90_N1ZAM0,0
UniRef90_N2AQG2,0
UniRef90_UPI0003B2F08F,0
UniRef90_K5YRR2,0
UniRef90_K5ZQ83,0
UniRef90_N2BB76,0
UniRef90_K5ZU79,0
UniRef90_N1ZJQ1,0
UniRef90_N2BAD9,0
