GeneID,Taxonomy,Length,Reads,EC#,RPK
gi|262409781|ref|NZ_GG705192.1|:689-976|469588|g__Bacteroides.s__Bacteroides_sp_2_1_22|UniRef90_A5ZLI2|UniRef50_A5ZLI2,root;k_Bacteria,288,21841,0.0.0.0,75836.80555555556
gi|423332908|ref|NZ_JH976496.1|:1-433|823|g__Parabacteroides.s__Parabacteroides_distasonis|UniRef90_K5ZEM5|UniRef50_K5ZEM5,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,433,30957,0.0.0.0,71494.22632794458
gi|134302804|ref|NZ_AAVM02000012.1|:42372-42833|47678|g__Bacteroides.s__Bacteroides_caccae|UniRef90_A5ZLI4|UniRef50_A5ZLI4,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,462,15937,0.0.0.0,34495.670995671
gi|357057344|ref|NZ_JH376880.1|:c103433-103218|1531|g__Clostridium.s__Clostridium_clostridioforme|UniRef90_G5I7J4|UniRef50_G5I7J4,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia,216,6019,0.0.0.0,27865.74074074074
gi|522837947|ref|NZ_KE159513.1|:c283-1|328812|g__Parabacteroides.s__Parabacteroides_goldsteinii|UniRef90_S0GJR7|UniRef50_S0GJR7,root,283,7354,0.0.0.0,25985.865724381627
gi|224021136|ref|NZ_DS499723.1|:645-1037|105841|g__Anaerostipes.s__Anaerostipes_caccae|UniRef90_B0MGK2|UniRef50_B0MGK2,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,393,8198,0.0.0.0,20860.05089058524
gi|262380949|ref|NZ_GG705149.1|:c3993-3688|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_unknown|UniRef50_A6L8Y4,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides,306,6025,0.0.0.0,19689.54248366013
gi|223954455|ref|NZ_DS981451.1|:c548-153|310298|g__Bacteroides.s__Bacteroides_coprocola|UniRef90_unknown|UniRef50_unknown,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,396,6496,0.0.0.0,16404.040404040403
gi|423721761|ref|NZ_JH976524.1|:c198-1|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_K6B5C7|UniRef50_K6B5C7,root;k_Bacteria;p_;c_;o_;f_;g_;s_uncultured bacterium,198,3023,0.0.0.0,15267.676767676767
gi|211596893|ref|NZ_DS264347.1|:77319-77549|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5Z2Z6|UniRef50_M1YD77,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Anaerotignum;s_Anaerotignum propionicum,231,3404,0.0.0.0,14735.930735930735
gi|146386186|ref|NZ_AAXG02000037.1|:c890-537|106588|g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus|UniRef90_A6P025|UniRef50_B0TIG5,unclassified,354,4220,0.0.0.0,11920.903954802261
gi|224580298|ref|NZ_DS996445.1|:61866-62144|387661|g__Parabacteroides.s__Parabacteroides_johnsonii|UniRef90_A7AAS6|UniRef50_A7AAS6,root;k_Bacteria;p_Bacteroidetes;c_Bacteroidia;o_Bacteroidales;f_Tannerellaceae;g_Parabacteroides;s_Parabacteroides distasonis,279,2750,0.0.0.0,9856.630824372758
gi|223667651|ref|NZ_DS264471.1|:3555-3719|46503|g__Parabacteroides.s__Parabacteroides_merdae|UniRef90_A7AJP8|UniRef50_A7AJP8,unclassified,165,1220,0.0.0.0,7393.939393939394
gi|262384936|ref|NZ_GG705172.1|:15-245|469589|g__Bacteroides.s__Bacteroides_sp_2_1_33B|UniRef90_W1I8G9|UniRef50_W1I8G9,root,231,1472,0.0.0.0,6372.294372294372
gi|365876910|ref|NZ_AHHG01000024.1|:c5242-5039|1117645|g__Elizabethkingia.s__Elizabethkingia_anophelis|UniRef90_A0A015JYN5|UniRef50_I1LXR6,unclassified,204,1283,0.0.0.0,6289.2156862745105
gi|265758149|ref|NZ_GG705247.1|:4095-4304|457391|g__Bacteroides.s__Bacteroides_sp_3_1_33FAA|UniRef90_D1KAJ3|UniRef50_D1KAJ3,unclassified,210,1034,0.0.0.0,4923.809523809524
gi|211596901|ref|NZ_DS264355.1|:c1684-1436|33039|g__Blautia.s__Ruminococcus_torques|UniRef90_A5KRH1|UniRef50_A6P1U3,root;k_Bacteria;p_Firmicutes;c_Clostridia;o_Clostridiales;f_Lachnospiraceae;g_Blautia;s_Blautia sp. YL58,249,1169,0.0.0.0,4694.779116465864
gi|357631984|ref|NZ_AFIE01000131.1|:1-367|1029823|g__Acinetobacter.s__Acinetobacter_sp_P8_3_8|UniRef90_UPI0002487685|UniRef50_UPI0002487685,unclassified,367,1642,0.0.0.0,4474.114441416894
