Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,1,7.142857143,both
Aflatoxin biosynthesis,13,1,7.692307692,mpro
"Alanine, aspartate and glutamate metabolism",50,2,4,both
"Alanine, aspartate and glutamate metabolism",50,7,14,mpro
Amino sugar and nucleotide sugar metabolism,119,2,1.680672269,both
Amino sugar and nucleotide sugar metabolism,119,14,11.76470588,mpro
Amino sugar and nucleotide sugar metabolism,119,1,0.840336134,humann2
Aminoacyl-tRNA biosynthesis,31,6,19.35483871,both
Aminoacyl-tRNA biosynthesis,31,9,29.03225806,mpro
Arginine and proline metabolism,86,7,8.139534884,mpro
Arginine biosynthesis,28,4,14.28571429,mpro
Ascorbate and aldarate metabolism,46,2,4.347826087,mpro
Benzoate degradation,69,1,1.449275362,mpro
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,19,3.830645161,both
Biosynthesis of antibiotics,496,3,0.60483871,humann2
Biosynthesis of antibiotics,496,51,10.28225806,mpro
Biosynthesis of secondary metabolites,778,66,8.483290488,mpro
Biosynthesis of secondary metabolites,778,22,2.827763496,both
Biosynthesis of secondary metabolites,778,4,0.514138817,humann2
Biosynthesis of siderophore group nonribosomal peptides,6,1,16.66666667,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,both
Biotin metabolism,20,2,10,both
Biotin metabolism,20,4,20,mpro
Butanoate metabolism,55,6,10.90909091,mpro
C5-Branched dibasic acid metabolism,22,2,9.090909091,mpro
Carbapenem biosynthesis,5,1,20,mpro
Carbon fixation in photosynthetic organisms,25,6,24,mpro
Carbon fixation in photosynthetic organisms,25,5,20,both
Carbon fixation pathways in prokaryotes,50,16,32,mpro
Carbon fixation pathways in prokaryotes,50,1,2,both
Chloroalkane and chloroalkene degradation,17,1,5.882352941,mpro
Citrate cycle (TCA cycle),26,1,3.846153846,humann2
Citrate cycle (TCA cycle),26,2,7.692307692,both
Citrate cycle (TCA cycle),26,6,23.07692308,mpro
Cyanoamino acid metabolism,30,2,6.666666667,mpro
Cysteine and methionine metabolism,76,1,1.315789474,humann2
Cysteine and methionine metabolism,76,11,14.47368421,mpro
Cysteine and methionine metabolism,76,1,1.315789474,both
D-Alanine metabolism,6,1,16.66666667,mpro
D-Glutamine and D-glutamate metabolism,12,1,8.333333333,mpro
Drug metabolism - cytochrome P450,8,1,12.5,mpro
Drug metabolism - other enzymes,25,1,4,mpro
Drug metabolism - other enzymes,25,3,12,both
Fatty acid biosynthesis,17,2,11.76470588,mpro
Fatty acid biosynthesis,17,3,17.64705882,both
Fatty acid degradation,29,2,6.896551724,mpro
Folate biosynthesis,51,1,1.960784314,both
Folate biosynthesis,51,3,5.882352941,mpro
Fructose and mannose metabolism,75,9,12,mpro
Fructose and mannose metabolism,75,3,4,both
Galactose metabolism,48,9,18.75,mpro
Galactose metabolism,48,1,2.083333333,humann2
Galactose metabolism,48,1,2.083333333,both
Glucosinolate biosynthesis,15,1,6.666666667,mpro
Glutathione metabolism,39,1,2.564102564,mpro
Glutathione metabolism,39,1,2.564102564,both
Glycerolipid metabolism,40,1,2.5,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerophospholipid metabolism,61,1,1.639344262,both
Glycerophospholipid metabolism,61,4,6.557377049,mpro
"Glycine, serine and threonine metabolism",68,1,1.470588235,humann2
"Glycine, serine and threonine metabolism",68,2,2.941176471,both
"Glycine, serine and threonine metabolism",68,11,16.17647059,mpro
Glycolysis / Gluconeogenesis,48,1,2.083333333,humann2
Glycolysis / Gluconeogenesis,48,6,12.5,both
Glycolysis / Gluconeogenesis,48,11,22.91666667,mpro
Glycosaminoglycan degradation,15,2,13.33333333,mpro
Glycosphingolipid biosynthesis - ganglio series,8,2,25,mpro
Glycosphingolipid biosynthesis - globo and isoglobo series,13,3,23.07692308,mpro
Glyoxylate and dicarboxylate metabolism,73,1,1.369863014,both
Glyoxylate and dicarboxylate metabolism,73,7,9.589041096,mpro
Histidine metabolism,38,1,2.631578947,both
Histidine metabolism,38,6,15.78947368,mpro
Human cytomegalovirus infection,2,1,50,mpro
Human papillomavirus infection,2,1,50,mpro
Inositol phosphate metabolism,48,1,2.083333333,both
Inositol phosphate metabolism,48,2,4.166666667,mpro
Isoquinoline alkaloid biosynthesis,57,1,1.754385965,mpro
Lipopolysaccharide biosynthesis,27,1,3.703703704,humann2
Lipopolysaccharide biosynthesis,27,2,7.407407407,mpro
Lysine biosynthesis,28,4,14.28571429,mpro
Lysine degradation,53,2,3.773584906,mpro
Metabolic pathways,1650,5,0.303030303,humann2
Metabolic pathways,1650,47,2.848484848,both
Metabolic pathways,1650,143,8.666666667,mpro
Metabolism of xenobiotics by cytochrome P450,10,1,10,mpro
Methane metabolism,87,3,3.448275862,both
Methane metabolism,87,9,10.34482759,mpro
Microbial metabolism in diverse environments,668,12,1.796407186,both
Microbial metabolism in diverse environments,668,46,6.886227545,mpro
Microbial metabolism in diverse environments,668,3,0.449101796,humann2
Monobactam biosynthesis,10,1,10,mpro
Naphthalene degradation,9,1,11.11111111,mpro
Nicotinate and nicotinamide metabolism,59,3,5.084745763,mpro
Nitrogen metabolism,37,1,2.702702703,both
Nitrogen metabolism,37,1,2.702702703,mpro
Novobiocin biosynthesis,16,1,6.25,mpro
One carbon pool by folate,24,9,37.5,mpro
One carbon pool by folate,24,1,4.166666667,both
Other glycan degradation,9,3,33.33333333,mpro
Oxidative phosphorylation,11,1,9.090909091,both
Oxidative phosphorylation,11,6,54.54545455,mpro
PI3K-Akt signaling pathway,2,1,50,mpro
Pantothenate and CoA biosynthesis,31,5,16.12903226,mpro
Pantothenate and CoA biosynthesis,31,2,6.451612903,both
