Pathway,num_Ecs,tally,coverage,who
Acarbose and validamycin biosynthesis,14,1,7.142857143,mpro
"Alanine, aspartate and glutamate metabolism",50,7,14,both
"Alanine, aspartate and glutamate metabolism",50,4,8,mpro
"Alanine, aspartate and glutamate metabolism",50,1,2,humann2
Amino sugar and nucleotide sugar metabolism,119,3,2.521008403,both
Amino sugar and nucleotide sugar metabolism,119,12,10.08403361,mpro
Amino sugar and nucleotide sugar metabolism,119,1,0.840336134,humann2
Aminoacyl-tRNA biosynthesis,31,8,25.80645161,both
Aminoacyl-tRNA biosynthesis,31,13,41.93548387,mpro
Aminobenzoate degradation,51,1,1.960784314,humann2
Arginine and proline metabolism,86,1,1.162790698,humann2
Arginine and proline metabolism,86,3,3.488372093,mpro
Arginine and proline metabolism,86,3,3.488372093,both
Arginine biosynthesis,28,2,7.142857143,both
Arginine biosynthesis,28,4,14.28571429,mpro
Arginine biosynthesis,28,1,3.571428571,humann2
Ascorbate and aldarate metabolism,46,1,2.173913043,mpro
Atrazine degradation,10,1,10,mpro
Biosynthesis of ansamycins,4,1,25,mpro
Biosynthesis of antibiotics,496,40,8.064516129,both
Biosynthesis of antibiotics,496,35,7.056451613,mpro
Biosynthesis of antibiotics,496,6,1.209677419,humann2
Biosynthesis of secondary metabolites,778,53,6.812339332,both
Biosynthesis of secondary metabolites,778,44,5.655526992,mpro
Biosynthesis of secondary metabolites,778,7,0.899742931,humann2
Biosynthesis of unsaturated fatty acids,16,1,6.25,mpro
Biosynthesis of vancomycin group antibiotics,10,1,10,mpro
Biotin metabolism,20,3,15,mpro
Biotin metabolism,20,1,5,humann2
Butanoate metabolism,55,1,1.818181818,both
Butanoate metabolism,55,3,5.454545455,mpro
Butanoate metabolism,55,1,1.818181818,humann2
C5-Branched dibasic acid metabolism,22,3,13.63636364,both
C5-Branched dibasic acid metabolism,22,2,9.090909091,mpro
Carbapenem biosynthesis,5,2,40,both
Carbon fixation in photosynthetic organisms,25,6,24,mpro
Carbon fixation in photosynthetic organisms,25,5,20,both
Carbon fixation pathways in prokaryotes,50,9,18,mpro
Carbon fixation pathways in prokaryotes,50,6,12,both
Carbon fixation pathways in prokaryotes,50,1,2,humann2
Chloroalkane and chloroalkene degradation,17,1,5.882352941,mpro
Citrate cycle (TCA cycle),26,2,7.692307692,mpro
Citrate cycle (TCA cycle),26,1,3.846153846,humann2
Citrate cycle (TCA cycle),26,5,19.23076923,both
Cyanoamino acid metabolism,30,1,3.333333333,mpro
Cyanoamino acid metabolism,30,2,6.666666667,both
Cysteine and methionine metabolism,76,7,9.210526316,mpro
Cysteine and methionine metabolism,76,2,2.631578947,humann2
Cysteine and methionine metabolism,76,6,7.894736842,both
D-Alanine metabolism,6,1,16.66666667,both
D-Alanine metabolism,6,1,16.66666667,mpro
D-Glutamine and D-glutamate metabolism,12,3,25,both
Drug metabolism - cytochrome P450,8,1,12.5,mpro
Drug metabolism - other enzymes,25,3,12,mpro
Drug metabolism - other enzymes,25,4,16,both
Fatty acid biosynthesis,17,1,5.882352941,humann2
Fatty acid biosynthesis,17,2,11.76470588,mpro
Fatty acid biosynthesis,17,2,11.76470588,both
Fatty acid degradation,29,1,3.448275862,mpro
Folate biosynthesis,51,4,7.843137255,mpro
Folate biosynthesis,51,1,1.960784314,humann2
Folate biosynthesis,51,1,1.960784314,both
Fructose and mannose metabolism,75,5,6.666666667,both
Fructose and mannose metabolism,75,8,10.66666667,mpro
Galactose metabolism,48,1,2.083333333,both
Galactose metabolism,48,1,2.083333333,humann2
Galactose metabolism,48,7,14.58333333,mpro
Glutathione metabolism,39,2,5.128205128,mpro
Glutathione metabolism,39,3,7.692307692,both
Glycerolipid metabolism,40,1,2.5,mpro
Glycerolipid metabolism,40,1,2.5,both
Glycerophospholipid metabolism,61,3,4.918032787,mpro
"Glycine, serine and threonine metabolism",68,7,10.29411765,mpro
"Glycine, serine and threonine metabolism",68,8,11.76470588,both
